#compound Initial Optimized Reoptimized Retrained
23004J 5.296 1.535 1.535 4.559
23004L 14.77 1.533 1.533 3.253
23004M 2.366 1.729 1.729 1.61
23004N 3.602 2.63 2.63 2.547
23004O 6.439 2.28 2.28 2.515
23004P 6.848 2.625 2.625 4.2
23004Q 1.929 2.043 2.043 2.106
23004R 1.994 1.615 1.615 1.661
23004S 4.618 1.475 1.475 1.589
23004U 13.078 2.901 2.901 3.214
23004T 17.765 2.737 2.737 3.957
23004V 2.324 1.355 1.355 1.61
23004W 1.815 1.884 1.884 1.602
23004X 5.782 1.985 1.985 2.925
23004Y 6.732 2.48 2.48 2.651
23004Z 6.848 1.873 1.873 1.867
230050 5.321 4.059 4.059 4.043
230052 4.054 2.192 2.192 2.228
230051 12.025 1.4 1.4 6.742
230053 8.181 2.39 2.39 2.378
230054 2.197 1.592 1.592 1.623
230056 2.479 1.914 1.914 1.785
230055 9.844 2.348 2.348 5.837
230057 2.768 2.171 2.171 1.845
230058 2.713 1.475 1.475 1.892
230059 10.367 2.146 2.146 2.153
23005A 2.94 1.886 1.886 2.245
23005B 17.612 2.163 2.163 2.089
23005C 7.3 2.718 2.718 2.75
23005D 5.53 1.942 1.942 2.049
23005F 15.906 2.013 2.013 2.115
23005E 12.335 2.359 2.359 2.713
23005G 4.869 1.923 1.923 1.985
23005I 13.648 1.929 1.929 2.195
23005H 9.888 3.911 3.911 3.689
23005J 3.384 2.036 2.036 2.948
23005K 15.592 1.905 1.905 1.981
23005N 5.038 2.035 2.035 2.457
23005O 4.427 1.845 1.194 3.837
23005Q 4.161 1.152 1.152 2.084
23005M 5.717 1.425 1.425 3.332
23005L 7.391 1.873 1.873 8.301
23005R 7.703 7.703 7.703 7.703
23005S 5.779 1.83 1.83 3.668
23005T 8.087 2.588 2.41 2.359
23005V 3.142 1.48 1.48 1.744
23005U 5.273 1.98 1.98 2.219
23005W 12.904 3.007 3.007 3.708
23005X 2.681 2.744 1.797 2.518
23005Y 2.392 1.548 1.548 1.516
23005Z 6.451 3.441 3.441 3.402
230060 10.381 2.281 2.281 4.497
230061 3.893 2.847 2.847 2.699
230062 4.057 2.498 2.498 4.021
230063 8.885 2.127 2.127 5.61
230064 7.157 1.847 1.847 1.772
230065 4.031 3.428 2.172 1.89
230066 5.38 3.865 3.865 3.511
230067 4.38 2.45 2.45 2.482
