#compound QM_x QM_y QM_z Initial_x Initial_y Initial_z Optimized_x Optimized_y Optimized_z Reoptimized_x Reoptimized_y Reoptimized_z Retrained_x Retrained_y Retrained_z
23001S 0.008 -2.78 -1.043 6.078 -2.407 0.81 0.028 -2.553 -0.932 0.028 -2.553 -0.932 -0.434 -2.659 -0.902
23001T -0.009 -0.682 0.0 -1.776 -0.912 0.0 -0.013 -0.68 0.0 -0.002 -0.692 0.0 2.171 -0.552 0.0
23001U 1.502 -0.034 0.017 -1.03 -1.124 0.014 1.514 -0.035 0.017 1.559 -0.028 0.013 0.795 0.066 0.013
23001X 0.422 -1.944 -0.091 -1.068 -2.155 0.814 0.439 -1.95 -0.1 0.443 -1.931 -0.092 0.507 -2.729 -0.438
23001Y -1.435 -3.275 -0.002 -4.312 1.757 -0.0 -1.413 -3.154 0.002 -1.413 -3.154 0.002 -1.408 -2.533 0.002
23001Z -4.126 4.921 0.025 3.512 -3.251 0.02 -3.958 4.719 0.017 -3.958 4.719 0.017 -3.434 4.924 0.017
230021 2.45 -6.869 2.445 3.24 -11.172 1.866 2.071 -5.846 2.157 2.071 -5.846 2.157 2.407 -5.766 2.236
230022 -3.34 5.575 0.018 5.09 -2.841 0.83 -2.857 4.704 0.006 -2.857 4.704 0.006 -2.775 4.695 -0.023
230023 6.369 4.3 -1.204 2.212 2.166 -0.608 5.701 3.774 -0.996 5.701 3.774 -0.996 5.698 3.718 -1.032
230024 -0.889 4.284 -0.332 -0.244 3.978 0.363 -0.927 4.036 -0.192 -0.927 3.963 -0.148 -2.178 3.807 -0.133
230025 0.0 0.0 2.21 0.0 0.0 -2.199 0.0 -0.03 2.211 0.0 -0.03 2.211 0.0 0.0 1.116
230026 10.614 3.827 -0.0 -0.891 3.331 -0.001 10.467 3.733 -0.0 10.467 3.733 -0.0 7.799 6.388 -0.0
230027 1.201 0.127 5.31 0.532 -0.087 5.525 1.106 0.005 4.345 1.106 0.005 4.345 0.952 -0.291 4.366
23002A -0.508 3.059 -0.625 -2.031 5.346 -1.096 -0.526 3.072 -0.628 -0.492 3.074 -0.628 -1.333 1.114 -0.231
230029 2.409 2.597 -1.133 4.188 2.629 -0.688 2.402 2.595 -1.127 2.425 2.632 -1.153 4.491 2.714 -1.061
23002C -0.502 3.336 -0.325 -0.075 2.538 -0.288 -0.432 3.026 -0.286 -0.432 3.026 -0.286 -0.288 2.691 -0.281
23002E 0.362 -4.063 -0.671 0.522 -3.405 -0.547 0.35 -3.319 -0.434 0.35 -3.319 -0.434 0.844 -2.648 -0.327
23002F 1.773 -0.956 0.0 0.014 -2.059 0.0 1.772 -0.949 0.0 1.772 -0.949 0.0 1.654 -1.057 0.0
23002G -1.18 5.506 1.275 -2.01 2.337 2.555 -1.172 5.506 1.276 -1.172 5.506 1.276 -1.222 5.457 1.282
23002H -8.351 -3.155 0.493 -4.245 -2.293 0.412 -7.666 -2.866 0.466 -7.666 -2.866 0.466 -3.653 -2.248 0.383
23002I 0.0 0.0 2.659 0.0 -0.0 5.563 0.015 0.008 2.608 0.015 0.008 2.608 0.0 0.0 0.283
23002K -3.602 10.31 0.727 -0.879 7.056 -0.178 -3.033 8.894 0.553 -3.033 8.894 0.553 -2.754 8.953 0.531
23002L -1.204 -1.823 -0.106 -3.986 -0.166 -0.014 -1.201 -1.816 -0.106 -1.201 -1.816 -0.106 -2.717 -1.019 -0.104
23002M -0.037 -0.97 -0.042 10.916 1.894 -0.814 -0.003 -0.965 -0.037 -0.003 -0.965 -0.037 1.09 -1.148 -0.086
23002O -0.081 -2.997 0.0 -0.653 -3.784 0.0 -0.085 -3.013 0.0 -0.085 -3.013 0.0 -1.175 -4.13 0.0
23002P -1.073 1.617 1.293 -0.352 1.913 0.982 -1.086 1.607 1.282 -1.086 1.607 1.282 -0.854 1.481 1.49
23002Q -1.116 -2.444 -0.001 0.471 3.886 -0.002 -1.077 -2.349 -0.001 -1.077 -2.349 -0.001 -1.784 -1.238 -0.001
23002R 1.546 5.126 -0.222 7.141 -4.215 -1.058 1.366 4.496 -0.339 1.366 4.496 -0.339 1.397 4.542 -0.331
23002T -4.688 -0.897 0.016 -0.884 5.137 0.01 -4.64 -0.882 0.002 -4.64 -0.882 0.002 -4.156 -1.099 0.002
23002U 4.942 0.707 0.105 5.016 1.818 0.177 5.003 0.679 0.161 5.003 0.679 0.161 5.382 1.605 0.146
23002V -0.301 -4.97 0.628 0.347 -3.724 0.501 -0.328 -4.13 0.523 -0.328 -4.13 0.523 -0.1 -4.156 0.546
23002W 3.111 1.418 2.473 0.603 0.629 2.875 3.108 1.425 2.471 3.108 1.425 2.471 3.219 1.385 2.463
23002X 11.217 -1.383 -0.005 8.696 -1.341 -0.014 9.08 -1.212 -0.002 9.08 -1.212 -0.002 9.329 -1.394 -0.001
23002Y 12.959 -1.466 1.051 4.278 -2.324 0.612 11.263 -1.407 0.895 11.263 -1.407 0.895 8.387 -1.981 0.805
23002Z 0.176 0.808 -1.203 -0.476 1.163 -1.634 0.172 0.843 -1.206 0.172 0.843 -1.206 1.007 0.693 -1.257
230030 -4.994 -1.525 0.351 4.239 3.628 -0.424 -4.643 -1.353 0.348 -4.643 -1.353 0.348 -3.719 -1.319 0.388
230031 0.859 -3.712 1.099 3.293 -3.021 0.996 0.75 -3.018 0.91 0.75 -3.018 0.91 0.622 -2.815 0.908
230032 -7.291 3.84 -3.973 -5.327 2.381 -4.187 -6.358 3.405 -3.698 -6.358 3.405 -3.698 -6.365 3.312 -3.619
