#compound QM Initial Optimized Reoptimized Retrained
2300MW 6.81 7.39 5.96 5.96 5.97 
2300MZ 2.58 2.02 2.56 2.56 2.35 
2300N0 8.67 9.37 7.42 7.42 7.32 
2300N1 4.01 0.94 4.0 4.0 2.96 
2300N2 6.05 3.07 5.04 5.71 5.01 
2300N3 2.97 3.45 2.64 2.64 2.77 
2300N5 0.14 0.44 0.14 0.14 0.49 
2300N8 6.68 6.54 6.06 6.06 6.0 
2300N4 17.22 20.03 14.09 14.09 14.64 
2300N9 2.79 2.98 2.75 2.75 2.79 
2300NA 7.85 8.32 7.86 7.86 8.2 
2300NF 8.16 6.47 6.47 6.47 6.49 
2300NE 7.63 6.21 6.09 6.09 6.05 
2300NH 1.36 4.97 1.37 1.37 1.59 
2300NI 4.63 5.21 4.34 4.34 3.83 
2300NJ 6.41 2.01 5.37 5.37 5.4 
2300NK 3.73 4.43 3.75 3.75 3.37 
2300NL 6.87 5.07 6.25 6.25 6.55 
2300NM 10.97 19.56 10.67 10.67 10.34 
2300NO 6.73 7.83 6.6 6.6 6.53 
2300NT 10.22 10.6 8.52 8.52 9.79 
2300NV 5.51 5.16 4.33 4.33 4.35 
2300NU 4.45 5.4 3.96 3.96 4.17 
2300NX 8.02 9.22 7.05 7.05 7.62 
2300NY 2.55 0.71 2.1 2.1 1.92 
2300NZ 2.64 2.76 2.32 2.32 2.28 
2300O0 5.55 6.53 5.41 5.41 4.83 
2300O1 6.61 7.23 5.97 5.97 5.96 
2300O2 9.22 4.42 8.51 7.8 6.22 
2300O3 7.04 4.09 7.05 7.05 5.39 
2300O4 12.62 11.2 10.86 10.86 9.19 
2300O5 12.22 1.8 10.13 10.13 6.85 
2300O6 1.55 3.48 1.55 1.55 1.62 
2300O7 2.75 2.46 2.75 2.69 3.16 
2300O8 4.49 3.53 4.03 4.03 3.92 
2300O9 6.45 4.16 5.4 5.4 5.46 
2300OA 1.42 1.49 1.42 1.42 1.51 
2300OC 5.74 3.28 5.74 5.74 5.71 
2300OF 0.91 0.38 0.91 0.91 0.91 
2300OG 8.62 5.2 7.45 7.45 6.48 
2300OH 3.94 3.59 3.3 3.3 3.04 
2300OJ 3.37 3.95 2.87 2.87 2.54 
2300OL 1.96 2.08 1.78 1.78 1.63 
2300OK 12.17 14.74 10.07 10.07 10.16 
2300ON 2.17 1.75 1.91 1.91 1.93 
2300OO 5.22 5.48 4.54 4.54 4.52 
2300OP 3.45 2.47 3.43 3.43 3.38 
2300OT 6.34 5.64 5.64 5.64 5.64 
2300OU 3.18 5.41 3.12 3.12 2.76 
2300OW 2.09 1.94 1.96 1.96 1.99 
2300OV 1.69 2.31 1.7 1.7 1.86 
2300OX 4.26 1.84 3.85 3.85 2.87 
2300OZ 3.72 3.31 3.6 3.6 3.51 
2300P0 5.05 2.06 4.86 4.86 3.72 
2300P1 2.44 2.88 2.34 2.34 3.12 
2300P2 3.85 6.88 3.65 3.65 3.82 
2300P5 7.09 5.89 6.48 6.48 6.37 
2300P6 33.83 31.42 28.97 29.09 29.55 
2300P8 9.55 4.08 8.35 8.35 7.75 
2300PA 1.06 2.86 1.06 1.06 2.83 
2300PC 1.56 3.23 1.57 1.57 1.69 
2300PD 5.34 3.91 5.0 5.0 4.07 
2300PF 6.26 7.58 5.84 5.84 5.92 
2300PG 7.81 6.77 6.64 6.64 6.12 
2300PI 4.4 4.38 4.37 4.37 4.19 
2300PK 5.63 6.65 5.11 5.11 4.77 
2300PL 9.25 6.59 7.29 7.29 7.19 
2300PM 8.2 5.87 7.31 7.31 7.31 
2300PO 7.0 6.43 5.92 5.92 5.92 
2300PP 2.82 2.06 2.46 2.46 1.54 
2300PQ 3.09 4.87 3.1 3.1 3.44 
2300PR 10.98 8.15 9.96 9.96 8.55 
2300PS 3.55 3.09 2.98 2.98 2.94 
2300PT 4.9 9.0 4.92 4.92 4.72 
2300PV 4.0 3.69 3.89 3.89 2.04 
2300PW 3.79 4.39 3.49 3.49 3.52 
2300PX 4.1 1.89 3.98 3.98 4.17 
2300PY 4.26 4.99 4.09 4.09 4.1 
2300PZ 2.55 1.79 2.14 2.14 2.13 
2300Q0 5.55 5.08 4.91 4.91 4.73 
2300Q5 5.19 3.26 4.63 4.63 2.77 
2300Q8 5.06 4.29 4.44 4.44 4.46 
2300Q9 3.84 8.17 3.73 3.73 3.21 
2300QB 3.02 3.83 2.62 2.62 2.11 
2300QA 2.92 4.01 2.68 2.68 2.94 
2300QE 5.77 5.22 4.78 4.78 4.94 
2300QD 4.91 5.49 4.9 4.9 5.06 
2300QF 4.61 4.84 4.61 4.61 4.62 
2300QG 5.4 4.53 4.5 4.5 4.46 
2300QI 1.77 1.67 1.74 1.74 2.32 
2300QK 5.21 4.48 4.57 4.57 4.63 
2300QL 6.8 5.02 6.22 6.22 5.73 
2300QO 3.84 2.49 3.84 3.84 4.08 
2300QN 4.39 3.18 4.0 4.0 4.83 
2300QP 1.56 3.6 1.53 1.53 1.48 
2300QT 1.34 3.21 3.21 3.21 3.21 
2300QS 3.37 5.73 3.38 3.38 5.84 
2300QU 2.5 2.38 2.37 2.37 2.36 
2300QX 2.72 1.97 2.72 2.72 2.42 
2300QY 7.71 8.17 7.31 7.31 7.31 
2300QZ 3.52 3.99 3.39 3.39 3.37 
2300R1 5.26 2.85 4.54 4.54 4.5 
2300R2 6.97 6.57 6.17 6.17 5.97 
2300R3 4.05 4.07 3.66 3.66 3.65 
2300R5 6.12 7.83 5.62 5.62 5.68 
2300R6 5.75 20.32 5.76 5.76 6.03 
2300R7 4.86 5.02 4.5 4.5 4.54 
2300R8 5.21 4.88 4.47 4.47 4.35 
2300R9 3.71 1.82 3.69 3.69 2.97 
2300RB 5.02 6.1 4.09 4.09 4.35 
2300RA 6.02 6.84 5.39 5.39 5.26 
2300RE 3.63 3.16 3.62 3.62 1.97 
2300RF 3.71 4.43 3.71 3.71 3.75 
2300RG 4.64 4.6 3.94 3.94 3.82 
2300RI 3.1 2.52 3.1 3.1 1.95 
2300RJ 8.81 6.57 7.13 7.13 4.07 
2300RL 2.37 2.55 2.38 2.38 2.35 
2300RM 22.97 22.39 20.08 20.08 20.04 
2300RN 6.27 5.53 5.46 5.46 5.48 
2300RO 3.74 3.42 3.74 3.74 3.68 
2300RR 7.29 6.53 7.26 7.26 6.67 
2300RS 0.89 2.95 0.89 0.89 1.82 
2300RY 0.41 3.95 0.42 0.42 1.87 
2300RZ 8.77 6.11 7.7 7.7 6.85 
2300S1 2.62 5.48 2.63 2.63 3.55 
2300S4 6.31 4.88 5.69 5.69 5.37 
2300S7 2.08 2.39 2.08 2.08 2.04 
2300S8 12.03 13.14 10.22 10.22 10.21 
2300S9 5.87 3.46 5.31 5.31 4.85 
2300SB 2.99 0.87 2.99 2.99 2.87 
2300SC 3.58 3.63 3.03 3.03 3.66 
2300SE 5.86 1.12 5.07 5.07 4.65 
2300SD 6.18 1.75 5.7 5.7 5.01 
2300SF 3.62 7.08 3.65 3.65 4.46 
2300SH 7.14 6.16 7.15 7.15 9.36 
2300SI 2.37 5.41 2.35 2.35 2.98 
2300SJ 2.62 2.19 2.63 2.63 2.27 
2300SL 1.76 1.55 1.74 1.74 1.53 
2300SM 5.52 5.78 5.34 5.34 5.33 
2300SP 5.33 4.64 4.7 4.7 4.66 
2300SS 4.21 3.75 3.77 3.77 3.86 
2300SU 6.32 5.65 6.11 6.11 5.79 
2300SV 8.11 3.15 6.84 6.84 6.51 
2300SX 3.95 3.8 3.85 3.85 4.03 
2300SY 1.95 2.6 2.09 2.09 1.79 
2300SZ 5.66 6.58 4.9 4.9 4.85 
2300T1 5.08 3.99 4.37 4.37 2.78 
2300T4 7.3 8.48 7.07 7.07 7.28 
2300T5 3.16 5.24 3.19 3.19 3.28 
2300T8 2.56 3.94 2.29 2.29 2.89 
2300T9 1.55 2.87 1.55 1.55 1.56 
2300TD 1.64 2.06 1.48 1.48 1.61 
2300TF 3.72 4.25 3.71 3.73 3.77 
2300TH 4.63 4.31 4.29 4.29 4.1 
2300TI 3.09 7.27 2.75 2.75 2.63 
2300TJ 2.8 4.23 2.8 2.8 2.83 
2300TK 9.09 7.05 7.4 7.4 7.37 
2300TL 3.37 5.16 3.38 3.38 4.17 
2300TM 0.82 0.43 0.82 0.82 0.96 
2300TN 4.6 7.1 4.21 4.21 4.34 
2300TO 1.21 1.05 1.2 1.2 1.47 
2300TQ 1.03 8.3 1.04 1.04 0.7 
2300TT 3.54 4.32 3.44 3.44 3.38 
2300TV 2.63 2.58 2.56 2.56 1.77 
2300TW 1.64 1.21 1.54 1.54 1.48 
2300TX 1.1 1.75 1.11 1.1 0.56 
2300TY 1.74 2.48 1.65 1.65 1.8 
2300TZ 4.49 7.41 4.51 4.51 5.43 
2300U0 6.84 4.53 5.91 5.91 6.73 
2300U2 2.68 6.8 2.51 2.51 2.56 
2300U3 1.09 2.17 1.09 1.09 1.9 
2300U4 5.4 5.9 5.03 5.03 4.94 
2300U6 2.56 2.31 2.75 2.75 3.47 
2300U8 7.67 6.34 7.13 7.13 7.03 
2300U9 2.19 2.22 2.18 2.18 2.19 
2300UB 10.97 6.77 9.23 9.23 4.91 
2300UE 2.56 2.53 2.3 2.3 2.33 
2300UH 4.09 2.66 3.71 3.71 3.83 
2300UK 3.82 3.1 3.11 3.11 3.13 
2300UN 4.99 4.26 4.89 4.89 4.75 
2300UR 6.32 7.64 7.64 7.64 7.64 
2300UQ 6.77 5.35 6.75 6.75 6.52 
2300US 3.94 3.98 3.81 3.81 3.79 
2300UU 3.71 2.86 3.73 3.73 4.19 
2300UV 2.74 3.98 2.73 2.73 3.15 
2300UW 1.79 2.35 1.77 1.77 1.81 
2300UY 1.34 1.22 1.34 1.34 1.8 
2300UX 8.37 8.08 7.35 7.35 7.22 
2300V0 1.74 2.05 1.73 1.73 1.95 
2300V1 2.85 4.72 2.74 2.74 1.85 
2300V3 1.82 1.07 1.78 1.78 1.68 
2300V2 1.83 0.46 1.8 1.8 1.33 
2300V5 6.22 2.46 6.23 6.23 5.07 
2300V6 4.41 5.17 4.12 4.12 4.04 
2300V7 5.15 7.3 4.66 4.66 5.07 
2300V8 1.83 1.78 1.68 1.68 1.66 
2300VA 0.43 0.38 0.44 0.44 0.15 
2300V9 4.36 4.12 3.95 3.95 3.9 
2300VB 9.09 0.94 9.11 8.75 6.54 
2300VC 5.56 5.21 5.21 5.21 5.21 
2300VE 7.07 5.81 6.37 6.37 6.31 
2300VF 5.61 4.0 5.05 5.05 4.53 
2300VD 7.71 6.85 7.73 7.73 6.25 
2300VG 2.87 3.38 2.88 2.88 2.49 
2300VH 4.36 3.64 3.47 2.46 2.65 
2300VL 6.92 5.86 6.9 6.9 5.85 
2300VM 2.9 3.5 2.84 2.84 2.92 
2300VN 3.82 3.93 3.84 3.84 2.85 
2300VP 2.91 1.59 2.78 2.78 2.75 
2300VQ 7.06 6.29 6.22 6.22 6.27 
2300VR 7.61 9.94 6.75 6.75 6.75 
2300VS 7.69 3.76 6.84 7.01 7.06 
2300VT 5.63 4.58 5.63 5.63 5.67 
2300VU 2.66 3.07 2.62 2.62 2.51 
2300VV 5.76 7.71 5.47 5.47 5.06 
2300VW 8.85 8.68 7.76 7.76 7.72 
2300VX 7.37 7.77 6.84 6.84 6.23 
2300VY 4.83 2.2 4.83 4.83 4.31 
2300VZ 5.59 3.92 4.67 4.67 4.88 
2300W0 5.66 4.21 5.32 5.32 5.54 
2300W2 7.52 9.9 7.43 7.43 7.39 
2300W3 4.64 6.26 3.79 3.79 3.71 
2300W4 4.72 4.52 4.18 4.18 4.04 
2300W6 2.37 2.23 2.31 2.31 2.88 
2300W7 3.07 3.56 2.83 2.83 3.16 
2300WA 1.89 1.62 1.67 1.67 1.95 
2300WB 3.51 2.69 2.98 2.98 2.7 
2300W9 2.48 2.57 2.04 2.04 2.24 
2300W8 3.99 3.38 3.7 3.7 3.11 
2300WC 1.83 2.22 1.82 1.82 1.8 
2300WD 6.11 3.13 5.36 5.36 7.46 
2300WF 6.18 5.02 5.65 5.65 5.58 
2300WG 1.64 1.35 1.64 1.64 1.13 
2300WI 6.01 3.54 4.98 4.98 4.38 
2300WJ 10.41 7.31 8.99 8.99 8.36 
2300WL 8.87 5.25 8.48 8.48 7.12 
2300WK 7.7 5.18 7.7 7.7 6.91 
2300WN 6.87 5.44 6.39 6.39 6.36 
2300WP 8.41 6.94 6.76 6.76 6.73 
2300WQ 1.59 3.83 1.58 1.58 1.7 
2300WS 5.02 6.82 4.88 4.88 4.86 
2300WU 5.78 3.61 5.48 5.48 6.04 
2300WV 4.65 2.92 3.9 3.9 3.8 
2300WW 5.55 4.86 5.46 5.46 4.03 
2300WX 4.29 7.38 3.91 3.91 4.04 
2300WZ 2.81 3.5 2.8 2.8 2.73 
2300X4 4.99 1.95 4.99 5.02 2.61 
2300X5 6.82 1.2 5.79 5.79 4.18 
2300X7 6.23 5.19 6.24 6.24 7.79 
2300X8 0.37 0.58 0.36 0.36 0.43 
2300X9 7.09 5.6 7.12 7.12 6.08 
2300XA 2.79 2.22 2.77 2.77 3.07 
2300XC 4.39 4.89 3.59 3.59 3.7 
2300XB 5.34 3.66 4.43 4.43 4.76 
2300XD 1.99 3.92 2.1 2.1 1.59 
2300XE 3.66 3.09 3.27 3.27 3.25 
2300XG 1.18 2.4 1.48 1.48 1.95 
2300XF 2.3 10.82 2.29 2.29 5.02 
2300XJ 5.02 5.2 4.37 4.37 4.32 
2300XK 4.11 2.9 3.37 3.37 3.18 
2300XL 0.3 1.68 0.23 0.23 0.54 
2300XN 1.95 3.76 1.81 1.81 1.73 
2300XO 4.04 1.57 3.37 3.37 3.32 
2300XQ 7.99 3.96 6.74 6.74 6.33 
2300XR 6.21 4.53 5.11 5.11 5.12 
2300XS 5.47 5.54 4.7 4.7 4.35 
2300XV 5.67 4.79 5.68 5.68 5.76 
2300XX 5.47 3.79 4.89 4.89 4.79 
2300XW 1.16 1.17 1.16 1.16 0.23 
2300Y0 5.68 4.97 5.35 5.35 4.86 
2300Y1 7.83 7.41 6.8 6.8 6.78 
2300Y3 2.85 4.71 2.83 2.83 2.34 
2300Y7 0.93 0.64 0.82 0.82 0.81 
2300Y8 2.97 2.64 2.52 2.52 2.48 
2300Y9 7.0 4.83 6.17 6.17 6.35 
2300YB 1.73 0.86 1.66 1.66 1.54 
2300YA 2.74 2.69 2.74 2.74 2.76 
2300YC 5.52 5.21 4.83 4.83 5.23 
2300YD 12.78 9.75 10.07 10.07 10.2 
2300YE 4.83 2.46 4.84 4.84 5.08 
2300YH 2.78 3.89 2.77 2.77 2.74 
2300YI 3.39 2.41 3.15 3.15 2.8 
2300YL 1.08 2.02 1.08 1.08 1.49 
2300YK 2.46 3.02 2.48 2.48 2.15 
2300YM 3.0 2.67 2.79 2.79 0.99 
2300YO 4.6 2.9 3.66 3.66 3.56 
2300YT 1.79 7.03 1.5 1.5 2.19 
2300YV 4.68 3.08 4.39 4.39 3.89 
2300YW 3.03 6.56 3.01 3.01 2.9 
2300YX 6.95 9.69 5.96 6.1 5.69 
2300YZ 5.24 2.45 4.67 4.67 4.83 
2300YY 7.87 4.8 7.87 7.87 4.49 
2300Z0 2.96 3.23 2.61 2.61 2.36 
2300Z2 2.39 1.06 2.12 2.12 1.83 
2300Z1 1.76 3.97 1.64 1.64 1.9 
2300Z4 4.51 5.02 4.52 4.52 3.69 
2300Z3 4.44 7.31 4.44 4.44 4.62 
2300Z5 1.64 4.88 1.64 1.67 4.01 
2300Z7 4.53 1.86 4.41 4.41 2.62 
2300ZA 3.83 5.15 3.5 3.46 3.07 
2300Z9 2.79 1.5 2.78 2.78 4.11 
2300ZB 5.83 3.24 5.11 5.11 4.96 
2300ZC 7.75 4.98 7.76 7.73 5.31 
2300ZF 3.09 3.28 2.96 2.96 2.84 
2300ZG 2.4 2.16 2.22 2.22 2.1 
2300ZI 2.57 1.83 2.21 2.21 2.23 
2300ZK 2.02 0.72 2.03 2.03 1.86 
2300ZL 4.99 1.01 4.29 4.29 3.88 
2300ZM 1.63 0.49 1.56 1.56 0.98 
2300ZP 3.55 3.47 3.45 3.45 3.63 
2300ZQ 2.9 6.45 2.46 2.46 2.47 
2300ZR 6.28 4.96 5.19 5.19 5.35 
2300ZS 2.02 2.62 1.73 1.73 1.08 
2300ZT 5.17 5.8 4.46 4.46 4.73 
2300ZU 5.93 6.35 5.25 5.25 5.61 
2300ZV 5.46 3.86 5.43 5.43 4.82 
2300ZW 4.52 1.38 3.72 3.72 3.01 
2300ZX 6.71 3.1 6.28 6.28 6.24 
2300ZY 5.37 4.52 4.95 4.95 4.97 
2300ZZ 1.04 1.92 1.35 1.35 1.36 
230100 8.09 9.86 8.01 8.01 8.14 
230101 6.72 5.87 6.26 6.26 6.34 
230102 5.95 4.67 5.19 5.19 5.08 
230103 6.22 1.2 5.47 5.47 4.31 
230104 5.29 4.35 4.71 4.71 4.52 
230105 5.22 5.27 5.21 5.21 5.91 
230106 4.94 7.07 4.92 4.94 6.25 
230107 9.79 8.51 8.21 8.21 7.15 
230108 2.46 3.46 2.46 2.46 2.52 
23010A 2.91 2.1 2.6 2.6 2.75 
230109 7.84 9.21 7.85 7.87 6.66 
23010B 9.72 8.63 7.8 7.8 7.63 
23010C 10.16 8.25 9.12 9.12 9.01 
23010D 5.95 3.6 5.42 5.42 4.22 
23010E 4.44 4.7 4.09 4.09 3.94 
23010F 4.44 6.37 4.19 4.19 4.79 
23010G 6.5 0.77 6.02 6.02 5.92 
23010H 4.11 5.64 4.11 4.11 3.42 
23010I 5.44 3.48 5.41 5.49 4.73 
23010K 3.85 2.46 3.73 3.73 3.57 
23010L 6.85 6.76 5.76 5.76 6.26 
23010M 1.47 1.57 1.46 1.46 1.37 
23010O 7.61 7.39 7.15 7.15 7.17 
23010P 3.56 5.44 3.54 3.54 2.74 
23010Q 4.85 1.26 4.28 4.28 4.02 
2300SG 3.5 3.49 3.12 3.12 3.14 
23010W 2.31 2.87 2.31 2.31 2.03 
23010X 1.83 2.27 1.92 1.92 1.97 
23010Y 0.11 0.61 0.14 0.14 0.08 
23010Z 1.28 1.78 1.29 1.29 1.49 
23010V 2.25 3.13 2.23 2.23 2.0 
230118 2.19 1.52 2.19 2.19 2.19 
230119 3.07 2.46 3.08 3.08 3.5 
23011A 2.06 0.32 2.02 2.02 2.01 
23011B 4.88 5.1 4.39 4.39 4.23 
23011E 9.56 7.94 8.06 8.06 8.5 
23011F 4.47 2.93 4.46 4.46 7.42 
23011G 4.81 3.64 4.69 4.69 5.09 
23011H 2.79 2.13 2.45 2.45 2.46 
23011J 4.92 3.76 4.8 4.8 4.78 
23011I 5.97 6.43 5.99 5.99 5.85 
23011K 3.25 3.59 3.23 2.93 2.94 
23011L 2.94 2.39 2.33 2.33 2.29 
23011M 1.24 1.59 1.28 1.28 1.01 
23011N 4.7 2.04 4.71 4.7 4.39 
23011P 3.45 3.83 3.44 3.44 3.34 
23011R 3.19 6.12 3.2 3.2 3.42 
23011U 3.48 3.36 3.45 3.45 1.92 
230120 3.13 2.0 2.83 2.83 2.85 
230123 1.87 1.8 1.79 1.79 2.21 
230124 2.73 4.14 2.78 2.44 1.63 
230125 2.8 0.96 2.83 2.83 3.24 
230128 4.56 5.6 4.09 4.09 4.4 
230129 4.14 5.97 4.15 4.14 4.59 
23012A 8.23 7.17 7.9 7.9 8.53 
23012B 0.86 0.63 0.86 0.86 1.11 
23012C 2.72 2.39 2.71 2.71 1.85 
23012F 6.89 4.58 5.71 5.71 4.98 
23012E 4.86 3.16 4.08 4.08 3.67 
23012H 1.12 1.29 1.11 1.12 0.15 
23012G 2.52 4.42 1.96 1.96 3.61 
23012I 7.24 5.51 6.31 6.31 5.83 
23012J 5.68 4.59 5.34 5.34 4.85 
23012L 4.39 2.44 3.79 3.79 3.63 
23012M 5.61 5.17 4.68 4.68 4.61 
23012K 2.26 4.77 2.25 2.25 0.69 
