#compound QM Initial Optimized Reoptimized Retrained
230054 4.37 2.69 3.34 3.34 3.38 
230056 2.52 2.97 2.47 2.47 2.32 
230057 5.09 3.25 4.93 4.93 4.43 
230058 2.08 1.9 2.07 2.07 1.9 
230059 2.12 3.6 2.12 2.12 2.14 
23005A 4.5 2.43 3.95 3.95 4.23 
23005B 7.62 12.72 6.5 6.5 6.46 
23005D 3.32 2.42 2.92 2.92 2.94 
23005F 4.61 5.55 3.58 3.58 3.66 
23005E 4.9 6.35 4.39 4.39 3.17 
23005G 4.79 3.37 4.09 4.09 4.09 
23005I 8.23 0.19 7.18 7.18 6.49 
23005H 9.0 2.38 8.77 8.77 8.73 
23005J 1.11 2.19 1.11 1.11 2.15 
23005N 2.29 3.09 2.3 2.3 1.99 
23005O 1.74 2.41 1.74 1.74 3.1 
23005Q 0.52 2.16 0.55 0.55 0.57 
23005M 2.08 2.68 1.87 1.87 2.39 
23005R 15.99 16.1 16.1 16.1 16.1 
23005S 7.07 2.1 5.96 5.96 3.52 
23005T 3.85 4.19 3.85 3.85 3.45 
23005V 7.82 6.99 6.56 6.56 6.29 
23005W 12.83 11.45 11.03 11.03 9.16 
23005X 7.39 5.71 6.63 6.37 5.83 
23005Y 7.36 4.9 5.85 5.85 5.7 
230061 4.75 4.28 4.16 4.16 4.14 
230064 8.68 4.23 7.0 7.0 6.92 
230065 9.01 7.41 8.09 7.67 7.31 
230066 9.13 9.12 8.21 8.21 7.76 
230067 6.38 5.77 5.46 5.46 5.46 
230068 1.62 2.93 1.61 1.61 1.6 
23006A 11.02 7.7 9.72 9.45 9.74 
23006C 8.45 1.22 7.31 7.31 5.2 
23006E 0.79 0.45 0.78 0.78 0.78 
23006F 1.91 1.97 1.9 1.91 2.99 
23006G 5.62 4.36 4.44 4.44 4.19 
23006I 4.85 2.87 4.84 4.84 5.42 
23006K 4.58 5.58 4.3 4.3 3.58 
23006N 1.18 1.4 1.24 1.24 1.27 
23006M 3.32 3.79 3.3 3.3 3.52 
23006O 5.45 4.49 4.98 4.98 5.18 
23006P 7.67 6.65 6.7 6.7 6.32 
23006T 1.51 5.64 1.48 1.48 1.72 
23006U 2.76 2.15 2.78 2.78 3.84 
23006V 4.7 4.17 4.14 4.14 4.22 
23006W 4.95 6.12 4.87 4.87 5.11 
23006X 0.96 1.28 0.97 0.97 0.86 
23006Y 2.01 2.59 1.98 1.98 1.62 
23006Z 2.14 3.81 2.15 2.15 2.22 
230070 3.78 3.72 3.74 3.74 3.43 
230071 6.79 2.94 5.62 5.68 5.55 
230073 5.99 5.88 5.98 5.82 5.64 
230074 2.72 2.27 2.72 2.72 2.55 
230075 4.96 4.52 4.93 4.71 4.55 
230076 0.87 1.12 0.87 0.87 0.77 
230077 2.0 4.7 2.02 1.95 2.25 
230078 2.38 2.21 2.2 2.2 0.82 
23007A 5.53 4.47 4.78 4.78 4.83 
23007B 1.98 2.35 1.94 1.94 1.97 
23007C 1.65 1.82 1.66 1.66 1.87 
23007D 5.24 0.8 5.15 5.15 2.7 
23007E 4.3 5.05 3.89 3.89 4.0 
23007G 1.66 3.32 1.45 1.45 0.91 
23007I 6.11 6.33 5.61 5.61 5.4 
23007J 4.94 6.67 4.82 4.82 3.51 
23007H 4.19 7.91 4.15 4.18 2.57 
23007L 12.71 12.79 11.23 11.21 11.35 
23007O 1.85 1.56 1.85 1.85 2.14 
23007P 3.06 3.14 2.9 2.9 2.88 
23007R 2.57 2.99 2.29 2.29 3.48 
23007S 4.41 4.33 4.11 4.11 4.14 
23007U 6.4 6.49 5.29 5.29 5.3 
23007W 1.82 1.84 1.71 1.71 1.74 
23007V 0.92 1.35 0.97 0.97 1.01 
23007X 5.97 6.78 5.45 5.45 5.37 
23007Y 4.89 7.75 4.66 4.89 5.24 
23007Z 6.19 6.61 5.62 5.62 5.66 
230080 3.06 2.17 2.84 2.84 2.81 
230081 6.67 5.13 5.67 5.67 5.47 
230082 4.26 4.95 3.96 3.96 3.9 
230084 7.7 9.74 6.28 6.28 6.39 
230085 1.8 2.85 1.8 1.8 1.68 
230086 3.65 4.06 3.51 3.51 3.57 
230087 3.05 5.97 3.06 3.06 2.81 
230088 2.22 2.83 2.21 2.21 2.6 
230089 1.87 2.45 1.83 1.83 1.68 
23008B 4.89 5.69 4.89 4.89 4.94 
23008C 5.68 5.86 5.51 5.51 8.54 
23008E 3.75 6.88 3.33 3.33 3.64 
23008G 4.41 2.65 3.55 3.55 3.56 
23008F 4.96 2.88 4.0 4.0 4.02 
23008H 6.59 2.92 5.56 5.56 3.71 
23008I 9.83 14.41 7.97 7.97 11.61 
23008L 5.05 2.76 4.31 4.31 3.41 
23008K 4.27 4.74 3.27 3.27 1.28 
23008M 4.31 1.46 4.27 4.27 4.03 
23008N 3.72 3.51 3.35 3.35 3.35 
23008O 9.35 5.63 8.01 8.01 6.56 
23008P 1.88 3.3 1.87 1.87 2.06 
23008Q 2.13 1.46 2.12 2.12 2.15 
23008R 6.12 3.65 5.89 5.89 4.22 
23008S 3.19 1.14 3.2 3.16 2.05 
23008T 1.83 3.26 1.83 1.83 3.22 
23008U 7.47 6.61 6.04 6.04 6.09 
23008V 4.89 5.95 4.88 4.88 4.81 
23008X 2.07 1.5 2.05 2.05 2.04 
23008Y 3.53 2.68 3.54 3.54 3.16 
230091 7.45 7.77 6.28 6.28 6.33 
230093 6.15 6.62 5.48 5.48 5.52 
230094 5.45 5.95 4.91 4.91 4.71 
230096 4.22 3.91 4.03 4.03 3.93 
230097 8.77 7.59 6.78 6.78 6.74 
230098 10.42 15.49 8.82 8.82 10.05 
230099 1.62 1.37 1.65 1.65 1.77 
23009A 1.74 1.94 1.73 1.73 1.29 
23009C 5.23 4.24 4.69 4.69 5.44 
23009E 0.91 0.47 0.91 0.91 1.22 
23009F 7.66 4.55 7.24 7.24 6.01 
23009I 3.22 4.55 3.22 3.22 3.13 
23009J 3.4 1.74 3.41 3.41 2.75 
23009K 4.9 2.12 4.9 4.9 3.13 
23009L 3.84 2.13 3.42 3.42 3.4 
23009O 1.39 0.83 1.11 1.11 0.98 
23009N 2.11 0.66 1.88 1.88 1.59 
23009Q 9.42 9.63 8.19 8.19 8.35 
23009S 3.42 4.78 3.04 3.04 3.0 
23009T 12.37 5.36 10.63 10.63 8.96 
23009U 3.44 3.8 3.2 3.2 3.42 
23009W 7.04 9.47 6.37 6.37 6.28 
23009V 8.14 9.95 7.15 7.15 6.88 
23009Y 9.76 1.29 8.45 8.45 6.75 
2300A0 7.33 3.42 6.67 6.67 6.33 
2300A1 1.32 1.93 1.25 1.25 0.99 
2300A2 4.41 2.63 4.21 4.21 4.06 
2300A3 5.9 4.57 4.98 4.98 4.67 
2300A5 1.07 0.87 1.02 1.02 0.94 
2300A4 2.29 2.44 2.29 2.29 5.4 
2300A6 4.82 4.2 4.6 4.6 4.63 
2300A7 7.41 4.88 6.25 6.25 6.22 
2300A9 5.96 5.52 5.96 5.96 5.92 
2300AA 6.77 6.76 6.13 6.13 5.44 
2300AB 10.49 1.37 9.99 9.99 4.47 
2300AE 3.05 3.93 2.77 2.77 2.88 
2300AF 5.53 3.64 4.67 4.67 4.84 
2300AG 1.84 2.08 1.82 1.82 2.01 
2300AH 6.52 4.86 5.85 5.85 6.18 
2300AK 7.03 4.92 6.39 6.39 6.27 
2300AO 8.4 2.66 7.21 7.21 6.87 
2300AQ 7.04 2.9 5.68 5.68 5.64 
2300AT 5.92 3.54 5.11 5.11 4.34 
2300AU 3.55 2.25 2.86 2.86 2.7 
2300AV 2.23 2.24 2.07 2.07 2.19 
2300AW 3.95 9.6 3.58 3.58 3.26 
2300AX 1.62 2.1 1.62 1.62 1.45 
2300AZ 3.8 3.25 3.8 3.8 3.66 
2300B0 2.99 6.29 2.92 2.92 2.78 
2300B1 1.23 2.43 1.15 1.15 0.48 
2300B2 6.87 6.13 5.62 5.62 5.41 
2300B5 0.41 0.21 0.43 0.43 0.74 
2300B7 10.46 10.86 10.18 10.18 9.75 
2300B8 9.87 7.34 8.66 8.66 8.43 
2300BA 5.49 9.42 5.06 5.06 4.27 
2300BC 1.62 0.7 1.58 1.58 3.64 
2300BD 8.27 6.93 6.94 6.94 6.57 
2300BF 7.71 6.1 6.5 6.5 6.26 
2300BH 6.85 2.68 6.38 6.38 5.68 
2300BI 1.27 1.61 1.27 1.27 1.77 
2300BK 1.39 2.89 1.39 1.39 1.4 
2300BN 1.31 1.94 1.3 1.3 1.3 
2300BO 10.72 7.65 9.89 9.89 8.71 
2300BQ 3.34 3.35 3.34 3.34 1.94 
2300BR 2.38 6.94 2.38 2.37 3.75 
2300BT 2.63 2.71 2.33 2.33 2.39 
2300BU 6.56 9.75 6.55 6.55 6.55 
2300BW 0.94 3.64 0.95 0.95 1.03 
2300BX 11.32 5.58 9.72 9.72 7.48 
2300BY 3.83 4.71 3.83 3.83 3.51 
2300BZ 3.41 3.46 3.42 3.42 3.13 
2300C0 4.5 9.7 4.36 4.36 4.59 
2300C1 9.15 6.99 8.75 8.75 8.46 
2300C3 2.08 1.87 2.1 2.1 1.97 
2300C4 2.32 1.84 1.84 1.84 1.77 
2300C5 9.67 1.75 9.62 9.62 8.84 
2300C6 7.24 6.44 7.23 6.94 7.17 
2300C7 3.45 2.39 2.78 2.78 1.76 
2300C8 2.51 2.26 2.48 2.43 1.73 
2300C9 2.93 1.13 2.92 2.92 2.8 
2300CB 1.02 1.44 0.94 0.94 0.91 
2300CC 8.74 3.74 8.04 8.04 6.78 
2300CD 4.36 4.41 4.04 4.04 3.83 
2300CF 7.65 6.34 6.51 6.51 6.46 
2300CK 11.04 6.64 10.91 10.91 11.0 
2300CL 2.38 0.36 1.97 1.97 2.1 
2300CM 1.47 0.9 1.48 1.48 1.4 
2300CP 8.19 1.55 8.18 8.18 8.24 
2300CQ 9.55 0.68 8.95 8.95 6.62 
2300CT 9.73 5.06 8.56 8.56 8.54 
2300CW 6.05 3.73 5.94 5.94 6.02 
2300CY 3.53 8.55 2.97 2.97 2.98 
2300CZ 0.0 0.0 0.03 0.03 0.0 
2300D0 0.58 0.8 0.56 0.56 1.98 
2300D1 5.94 9.65 5.94 5.94 6.2 
2300D2 7.26 6.95 6.54 6.54 6.54 
2300D5 4.01 3.11 3.97 4.04 5.37 
2300D6 1.72 1.91 1.59 1.59 1.63 
2300D8 2.89 2.44 2.86 2.92 2.53 
2300DC 2.67 4.62 2.33 2.33 3.2 
2300DB 4.47 3.52 4.5 4.5 5.09 
2300DF 4.2 4.03 4.14 3.95 3.8 
2300DI 3.69 3.26 3.37 3.37 4.12 
2300DK 5.56 5.19 5.51 5.51 5.48 
2300DL 6.59 3.59 6.24 6.24 5.25 
2300DM 8.85 7.98 8.3 8.3 8.22 
2300DN 9.11 1.84 8.12 8.12 7.36 
2300DP 3.9 2.61 3.47 3.47 3.47 
2300DQ 4.71 2.89 4.57 4.57 3.7 
2300DU 2.63 1.17 2.28 2.28 2.24 
2300DX 4.4 4.0 4.14 4.14 4.3 
