#compound Initial Optimized Reoptimized Retrained
2300S8 10.94 3.28 3.28 3.35
2300S9 19.25 0.81 0.81 0.87
2300SB 76.93 0.23 0.23 2.6
2300SC 5.72 1.41 1.41 3.12
2300SE 117.65 0.27 0.27 1.03
2300SD 118.09 1.36 1.36 1.46
2300SF 28.54 0.22 0.22 8.18
2300SH 4.91 0.05 0.05 0.92
2300SI 39.6 0.42 0.42 6.64
2300SJ 22.22 0.7 0.7 13.88
2300SL 21.4 0.25 0.25 6.11
2300SM 7.14 1.35 1.35 1.71
2300SP 1.18 0.71 0.71 6.24
2300SS 43.5 0.61 0.61 5.93
2300SU 17.07 0.33 0.33 12.86
2300SV 34.78 0.07 0.07 2.65
2300SX 16.01 1.54 1.54 1.21
2300SY 20.48 6.9 6.9 17.93
2300SZ 13.42 1.12 1.12 1.32
2300T1 26.41 0.34 0.34 17.19
2300T4 17.96 0.17 0.17 1.44
2300T5 17.78 0.13 0.13 2.86
2300T8 47.5 1.56 1.56 15.4
2300T9 45.1 0.26 0.26 25.39
2300TD 18.33 7.02 7.02 14.26
2300TF 16.55 0.22 0.29 2.3
2300TH 33.28 1.73 1.73 0.5
2300TI 14.75 2.57 2.57 2.63
2300TJ 38.79 1.59 1.59 2.85
2300TK 7.92 2.37 2.37 3.11
2300TL 48.09 0.26 0.26 12.24
2300TM 179.91 0.81 0.81 0.0
2300TN 32.28 0.85 0.85 11.39
2300TO 123.38 0.26 0.26 3.14
2300TQ 143.38 0.59 0.59 56.39
2300TT 23.62 3.75 3.75 7.77
2300TV 40.87 8.03 8.03 33.77
2300TW 35.35 0.73 0.73 5.47
2300TX 34.61 0.69 0.46 85.8
2300TY 21.05 7.65 7.65 19.39
2300TZ 26.78 0.97 0.97 0.97
2300U0 12.53 1.41 1.41 5.63
2300U2 52.29 0.41 0.41 13.85
2300U3 19.39 0.37 0.37 36.69
2300U4 8.26 2.15 2.15 2.84
2300U6 53.99 12.01 12.01 6.54
2300U8 1.03 0.63 0.63 1.16
2300U9 24.83 0.24 0.24 6.68
2300UB 11.42 1.21 1.21 22.5
2300UE 41.12 0.96 0.96 4.13
2300UH 34.18 1.13 1.13 4.69
2300UK 19.32 1.47 1.47 1.68
2300UN 51.91 0.43 0.43 0.54
2300UR 0.99 0.99 0.99 0.99
2300UQ 5.99 0.2 0.22 4.96
2300US 9.6 0.63 0.63 0.52
2300UU 23.68 0.07 0.07 11.51
2300UV 39.32 0.58 0.58 20.79
2300UW 28.38 0.24 0.24 3.96
2300UY 46.44 1.02 1.02 3.03
2300UX 11.29 1.25 1.25 1.45
2300V0 11.08 0.31 0.31 11.58
2300V1 36.05 8.12 8.12 19.1
2300V3 1.05 0.31 0.31 3.19
2300V2 22.51 0.55 0.55 6.22
2300V5 69.8 0.33 0.33 3.65
2300V6 18.22 1.48 1.48 3.66
2300V7 16.99 7.18 7.18 7.45
2300V8 43.45 1.17 1.17 31.92
2300VA 135.16 2.72 2.72 12.66
2300V9 9.15 2.88 2.88 2.29
2300VB 39.0 0.11 0.75 12.86
2300VC 4.54 4.54 4.54 4.54
2300VE 13.39 1.78 1.78 2.33
2300VF 3.46 1.35 1.35 2.1
2300VD 9.42 0.12 0.12 3.45
2300VG 10.69 0.48 0.48 13.12
2300VH 13.17 2.9 49.15 48.13
2300VL 14.28 0.26 0.26 7.33
2300VM 33.51 14.05 14.05 13.45
2300VN 38.79 0.18 0.18 13.68
2300VP 31.98 1.82 1.82 2.55
2300VQ 6.95 1.71 1.71 2.1
2300VR 27.27 0.19 0.19 0.23
2300VS 27.69 0.73 0.76 1.02
2300VT 12.3 0.05 0.05 0.41
2300VU 64.19 0.79 0.79 6.72
2300VV 25.52 0.99 0.99 5.33
2300VW 5.35 1.27 1.27 2.77
2300VX 19.93 1.32 1.32 4.37
2300VY 21.68 0.26 0.26 14.58
2300VZ 21.19 5.37 5.37 6.99
2300W0 29.18 1.93 1.93 2.16
2300W2 6.13 0.4 0.4 5.07
2300W3 14.61 0.21 0.21 3.45
2300W4 36.71 0.45 0.45 4.18
2300W6 22.25 2.52 2.52 9.1
2300W7 16.82 0.62 0.62 8.27
2300WA 2.26 2.53 2.53 0.51
2300WB 2.91 4.46 4.46 12.62
2300W9 12.67 0.27 0.27 17.65
2300W8 8.95 0.71 0.71 11.61
2300WC 35.8 0.66 0.66 11.71
2300WD 10.96 0.25 0.25 8.47
2300WF 3.78 0.18 0.18 0.89
2300WG 63.46 0.61 0.61 59.65
2300WI 32.0 1.71 1.71 1.29
2300WJ 4.41 0.34 0.34 13.11
2300WL 23.63 0.23 0.23 2.02
2300WK 26.32 0.08 0.08 12.98
2300WN 11.23 0.37 0.37 2.05
2300WP 6.2 1.84 1.84 2.24
2300WQ 56.2 0.13 0.13 9.72
2300WS 16.85 1.39 1.39 1.93
2300WU 36.65 0.62 0.62 4.71
2300WV 19.77 1.06 1.06 1.34
2300WW 3.03 0.6 0.6 19.87
2300WX 12.82 5.05 5.05 5.09
2300WZ 18.96 0.1 0.1 5.44
2300X4 89.79 0.27 0.42 39.39
2300X5 67.1 2.31 2.31 4.37
2300X7 13.45 0.04 0.04 7.28
2300X8 77.27 13.17 13.17 60.75
2300X9 32.2 0.12 0.12 8.36
2300XA 5.91 0.37 0.37 18.57
2300XC 29.2 2.46 2.46 7.35
2300XB 6.94 0.63 0.63 10.16
2300XD 5.78 9.32 9.32 26.74
2300XE 108.28 1.38 1.38 0.47
2300XG 36.27 2.91 2.91 30.09
2300XF 115.26 0.61 0.61 30.33
2300XJ 8.14 1.4 1.4 1.68
2300XK 9.65 1.12 1.12 3.16
2300XL 112.15 15.97 15.97 11.43
2300XN 44.87 1.14 1.14 11.34
2300XO 28.06 0.09 0.09 0.13
2300XQ 7.68 1.8 1.8 5.98
2300XR 17.61 1.02 1.02 2.77
2300XS 0.38 1.06 1.06 4.99
2300XV 21.09 0.02 0.02 1.09
2300XX 18.24 4.95 4.95 4.99
2300XW 121.81 0.93 0.93 15.6
2300Y0 20.46 0.44 0.44 0.23
2300Y1 7.59 1.79 1.79 2.87
2300Y3 43.27 0.06 0.06 3.93
2300Y7 50.74 2.35 2.35 50.75
2300Y8 14.15 2.16 2.16 2.61
2300Y9 8.46 4.73 4.73 4.21
2300YB 89.64 4.01 4.01 6.03
2300YA 55.8 0.26 0.26 0.49
2300YC 24.89 3.01 3.01 5.65
2300YD 21.2 0.7 0.7 0.42
2300YE 38.54 0.11 0.11 9.69
2300YH 16.88 0.17 0.17 4.48
2300YI 41.13 2.12 2.12 7.92
2300YL 13.21 0.35 0.35 19.6
2300YK 13.9 0.19 0.19 14.63
2300YM 1.89 0.85 0.85 44.43
2300YO 18.54 8.1 8.1 9.42
2300YT 68.53 3.36 3.36 28.7
2300YV 4.64 2.1 2.1 2.07
2300YW 144.61 0.26 0.26 45.59
2300YX 29.27 1.38 1.59 6.7
2300YZ 32.36 0.45 0.45 10.51
2300YY 21.82 0.04 0.04 13.57
2300Z0 50.64 5.12 5.12 10.61
2300Z2 38.13 2.57 2.57 0.29
2300Z1 54.58 1.76 1.76 29.48
2300Z4 22.59 0.15 0.15 11.39
2300Z3 22.94 0.2 0.2 9.9
2300Z5 106.55 0.04 2.11 46.51
2300Z7 40.91 5.53 5.53 22.87
2300ZA 112.07 4.9 5.09 10.86
2300Z9 150.07 0.33 0.33 11.87
2300ZB 30.08 2.8 2.8 2.82
2300ZC 20.18 0.27 0.27 16.47
2300ZF 7.05 1.18 1.18 11.89
2300ZG 16.05 2.71 2.71 3.42
2300ZI 41.14 4.5 4.5 6.24
2300ZK 85.73 0.27 0.27 26.45
2300ZL 144.76 0.7 0.7 5.68
2300ZM 64.06 3.75 3.75 23.67
2300ZP 11.16 2.32 2.32 3.21
2300ZQ 1.78 0.59 0.59 3.63
2300ZR 3.13 1.11 1.11 3.12
2300ZS 32.65 9.22 9.22 27.47
2300ZT 0.79 2.42 2.42 2.5
2300ZU 0.53 0.19 0.19 2.3
2300ZV 38.88 0.17 0.17 0.02
2300ZW 116.64 1.01 1.01 18.95
2300ZX 0.06 0.67 0.67 2.51
2300ZY 1.84 0.73 0.73 10.63
2300ZZ 27.02 5.0 5.0 5.65
230100 11.13 0.24 0.24 0.63
230101 14.63 1.47 1.47 6.15
230102 3.93 0.97 0.97 2.23
230103 69.03 0.18 0.18 10.41
230104 10.06 1.96 1.96 1.13
230105 4.93 0.02 0.02 4.29
230106 35.53 0.12 0.19 27.53
230107 19.3 0.8 0.8 3.29
230108 32.34 0.31 0.31 16.06
23010A 6.83 6.67 6.67 3.96
230109 19.19 0.03 0.15 13.81
23010B 14.74 3.56 3.56 4.88
23010C 13.88 1.01 1.01 1.38
23010D 4.37 0.66 0.66 6.59
23010E 13.41 2.35 2.35 5.86
23010F 12.63 1.0 1.0 10.06
23010G 154.28 0.65 0.65 3.98
23010H 49.15 0.12 0.12 12.26
23010I 48.5 0.34 0.37 13.26
23010K 2.38 0.21 0.21 13.02
23010L 10.18 1.41 1.41 2.16
23010M 16.34 1.22 1.22 9.21
23010O 13.48 1.57 1.57 2.31
23010P 59.39 0.61 0.61 8.19
23010Q 77.89 0.91 0.91 15.35
2300SG 4.96 8.68 8.68 7.94
23010W 5.23 0.28 0.28 11.5
23010X 11.71 1.85 1.85 1.1
23010Y 22.71 27.9 27.9 42.11
23010Z 5.45 0.34 0.34 14.16
23010V 1.49 0.5 0.5 8.22
230118 16.59 0.15 0.15 1.62
230119 8.92 0.05 0.05 5.03
23011A 150.48 0.62 0.62 5.21
23011B 31.43 0.55 0.55 1.46
23011E 12.28 0.3 0.3 1.34
23011F 14.43 0.31 0.31 39.64
23011G 7.58 0.23 0.23 11.26
23011H 6.95 2.42 2.42 2.4
23011J 0.0 0.14 0.14 0.0
23011I 8.13 0.05 0.05 0.84
23011K 15.48 0.23 1.22 5.66
23011L 7.35 2.94 2.94 2.96
23011M 69.47 2.65 2.65 42.94
23011N 25.31 0.54 0.29 5.79
23011P 10.2 0.17 0.17 10.72
23011R 17.87 0.57 0.57 14.51
23011U 23.27 1.07 1.07 23.16
230120 18.06 0.59 0.59 0.44
230123 65.88 3.75 3.75 18.42
230124 15.0 0.35 3.8 6.88
230125 134.55 0.17 0.17 22.03
230128 19.01 1.4 1.4 4.34
230129 59.93 0.07 0.07 26.07
23012A 39.62 0.72 0.72 10.21
23012B 37.92 1.96 1.96 38.87
23012C 78.9 0.1 0.1 4.68
23012F 9.76 1.52 1.52 18.6
23012E 3.39 2.9 2.9 8.3
23012H 0.14 0.42 1.17 2.46
23012G 57.83 3.91 3.91 72.44
23012I 42.93 0.99 0.99 5.5
23012J 14.19 2.01 2.01 4.25
23012L 41.63 3.49 3.49 4.9
23012M 25.52 2.77 2.77 2.24
23012K 14.01 0.12 0.12 157.94
