#compound Initial Optimized Reoptimized Retrained
23004J 0.75 0.33 0.33 0.79
23004L 2.12 0.72 0.72 1.0
23004M 0.44 0.32 0.32 0.27
23004N 1.19 0.34 0.34 0.35
23004O 2.32 0.34 0.34 0.72
23004P 1.48 0.55 0.55 0.62
23004Q 0.5 0.4 0.4 0.4
23004R 0.45 0.37 0.37 0.42
23004S 0.64 0.21 0.21 0.23
23004U 1.33 0.46 0.46 0.89
23004T 3.12 0.67 0.67 1.44
23004V 0.76 0.38 0.38 0.4
23004W 0.65 0.61 0.61 0.57
23004X 1.57 0.18 0.18 0.39
23004Y 0.64 0.23 0.23 0.3
23004Z 1.2 0.53 0.53 0.54
230050 0.66 0.81 0.81 0.83
230052 1.08 0.36 0.36 0.35
230051 2.24 0.45 0.45 1.24
230053 1.93 0.54 0.54 0.67
230054 0.28 0.21 0.21 0.21
230056 0.43 0.36 0.36 0.35
230055 2.04 0.52 0.52 1.15
230057 0.77 0.53 0.53 0.57
230058 0.56 0.21 0.21 0.45
230059 1.76 0.47 0.47 0.47
23005A 0.46 0.29 0.29 0.37
23005B 7.31 0.91 0.91 0.93
23005C 2.83 1.63 1.63 1.76
23005D 1.58 0.44 0.44 0.5
23005F 3.68 0.62 0.62 0.74
23005E 1.96 0.57 0.57 0.51
23005G 0.77 0.29 0.29 0.32
23005I 1.22 0.99 0.99 0.97
23005H 0.91 0.78 0.78 0.72
23005J 0.49 0.35 0.35 0.38
23005K 2.03 0.51 0.51 0.5
23005N 0.78 0.31 0.31 0.42
23005O 0.68 0.34 0.2 0.46
23005Q 0.64 0.21 0.21 0.41
23005M 1.02 0.3 0.3 0.71
23005L 1.97 0.51 0.51 1.6
23005R 1.6 1.6 1.6 1.6
23005S 0.74 0.39 0.39 0.56
23005T 1.27 0.3 0.25 0.21
23005V 0.81 0.38 0.38 0.43
23005U 1.43 0.31 0.31 0.4
23005W 2.02 1.09 1.09 1.24
23005X 0.87 0.7 0.47 0.81
23005Y 0.46 0.37 0.37 0.34
23005Z 1.01 0.85 0.85 0.99
230060 1.85 0.35 0.35 0.45
230061 1.12 1.14 1.14 1.06
230062 0.92 0.16 0.16 0.51
230063 1.24 0.69 0.69 0.86
230064 1.47 0.27 0.27 0.27
230065 0.84 0.6 0.56 0.57
230066 1.04 0.93 0.93 0.93
230067 0.91 0.2 0.2 0.23
230068 0.91 0.25 0.25 0.25
23006A 1.3 0.58 0.47 0.52
230069 1.33 0.67 0.56 0.85
23006B 1.85 0.38 0.38 0.38
23006C 3.16 0.4 0.4 0.7
23006D 1.95 0.64 0.64 1.57
23006E 0.23 0.24 0.24 0.24
23006F 0.24 0.36 0.18 0.56
23006G 0.56 0.41 0.41 0.37
23006H 1.51 0.37 0.37 1.12
23006I 0.84 0.56 0.4 0.41
23006J 3.22 0.55 0.55 1.03
23006K 1.38 0.7 0.7 0.92
23006L 1.4 0.63 0.63 0.63
23006N 0.53 0.49 0.49 0.54
23006M 0.62 0.34 0.34 0.31
23006O 0.77 0.57 0.57 0.56
23006P 0.52 0.39 0.39 0.43
23006Q 0.99 0.54 0.54 0.86
23006R 0.97 0.98 0.98 1.15
23006T 1.32 0.21 0.21 0.33
23006S 1.68 0.37 0.37 0.9
23006U 1.12 0.38 0.38 0.88
23006V 0.5 0.38 0.38 0.49
23006W 0.91 0.35 0.35 0.4
23006X 0.52 0.16 0.16 0.18
23006Y 0.74 0.3 0.3 0.43
23006Z 0.69 0.22 0.22 0.3
230070 0.7 0.5 0.5 0.51
230071 1.28 0.53 0.64 0.62
230072 0.94 0.63 0.63 0.79
230073 1.14 0.33 0.32 0.34
230074 0.95 0.27 0.27 0.32
230075 3.05 1.07 0.57 0.47
230076 1.06 0.28 0.28 0.3
230077 2.39 0.6 0.43 0.55
230078 0.74 0.74 0.74 0.62
230079 2.6 0.4 0.4 0.41
23007A 0.5 0.38 0.38 0.39
23007B 0.59 0.19 0.19 0.2
23007C 0.28 0.16 0.16 0.19
23007D 1.23 0.36 0.36 0.65
23007E 0.76 0.38 0.38 0.41
23007F 1.79 0.45 0.45 0.45
23007G 2.02 0.69 0.69 0.88
23007I 0.81 0.52 0.52 0.6
23007J 1.11 0.44 0.44 0.61
