#compound Initial Optimized Reoptimized Retrained
230001 0.19 0.16 0.16 0.15
230002 0.28 0.23 0.23 0.25
230003 0.16 0.14 0.14 0.14
230004 0.19 0.18 0.18 0.19
230005 0.06 0.05 0.05 0.05
230006 0.09 0.09 0.09 0.09
230007 0.92 0.43 0.43 0.89
230008 0.18 0.18 0.18 0.2
230009 0.14 0.12 0.12 0.13
23000A 0.18 0.15 0.15 0.15
23000B 0.15 0.15 0.15 0.15
23000C 0.15 0.13 0.13 0.12
23000D 0.56 0.15 0.15 0.49
23000E 0.27 0.2 0.2 0.22
23000F 0.39 0.39 0.39 0.39
23000G 0.25 0.21 0.21 0.23
23000H 0.06 0.12 0.12 0.1
23000J 0.15 0.13 0.13 0.13
23000I 0.15 0.14 0.14 0.14
23000K 0.56 0.32 0.32 0.29
23000L 0.13 0.11 0.11 0.11
23000M 0.2 0.17 0.15 0.15
23000N 0.09 0.09 0.09 0.09
23000O 0.1 0.08 0.08 0.08
23000P 0.5 0.11 0.11 0.27
23000Q 0.1 0.11 0.11 0.11
23000R 0.17 0.17 0.17 0.17
23000S 0.13 0.13 0.13 0.13
23000T 0.06 0.08 0.08 0.08
23000U 0.25 0.24 0.24 0.24
23000V 0.16 0.15 0.15 0.16
23000W 0.2 0.17 0.17 0.18
23000X 0.13 0.1 0.1 0.11
23000Y 0.16 0.09 0.09 0.1
23000Z 0.12 0.1 0.1 0.1
230010 0.08 0.05 0.05 0.06
230011 1.01 0.46 0.46 0.85
230012 0.15 0.12 0.14 0.14
230013 0.09 0.09 0.09 0.09
230014 0.21 0.23 0.23 0.23
230015 0.33 0.33 0.33 0.33
230016 0.11 0.11 0.11 0.11
230017 0.96 0.1 0.1 0.1
230018 0.32 0.27 0.27 0.27
230019 0.19 0.17 0.17 0.18
23001A 0.1 0.07 0.07 0.07
23001B 1.17 0.37 0.37 0.38
23001C 0.21 0.16 0.15 0.14
23001E 0.18 0.21 0.21 0.22
23001D 0.67 0.13 0.13 0.26
23001F 0.35 0.19 0.19 0.19
23001G 0.49 0.1 0.1 0.1
23001H 0.22 0.14 0.14 0.14
23001I 0.15 0.14 0.14 0.13
23001J 0.33 0.22 0.22 0.2
23001K 0.13 0.1 0.1 0.1
23001L 0.07 0.07 0.07 0.07
23001M 0.22 0.2 0.2 0.23
23001N 0.13 0.1 0.1 0.13
23001O 0.18 0.16 0.16 0.16
23001P 0.11 0.09 0.09 0.09
23001Q 0.19 0.16 0.16 0.16
230000 0.18 0.19 0.19 0.19
23001R 0.22 0.15 0.15 0.18
23001S 0.82 0.2 0.2 0.2
23001T 0.31 0.24 0.24 0.24
23001U 0.13 0.13 0.1 0.11
23001V 0.21 0.17 0.17 0.18
23001X 0.29 0.65 0.31 0.65
23001Y 0.13 0.09 0.09 0.1
23001Z 0.96 0.12 0.12 0.11
230020 0.09 0.1 0.1 0.09
230021 0.63 0.09 0.09 0.1
230022 1.39 0.09 0.09 0.09
230023 0.2 0.19 0.19 0.19
230024 0.11 0.07 0.07 0.08
230025 0.26 0.21 0.21 0.21
230026 0.96 0.14 0.14 0.58
230027 0.74 0.65 0.65 0.39
230028 0.29 0.27 0.27 0.27
23002A 0.12 0.1 0.1 0.11
230029 0.18 0.13 0.13 0.13
23002B 0.19 0.15 0.15 0.15
23002C 0.1 0.1 0.1 0.1
