#compound Initial Optimized Reoptimized Retrained
23002E 0.1 0.1 0.1 0.09
23002D 0.13 0.13 0.13 0.13
23002F 0.13 0.11 0.11 0.11
23002G 0.08 0.08 0.08 0.08
23002H 0.16 0.15 0.15 0.16
23002I 0.07 0.06 0.06 0.08
23002J 0.12 0.11 0.11 0.11
23002K 0.18 0.16 0.16 0.16
23002L 0.21 0.19 0.19 0.2
23002M 0.59 0.11 0.11 0.12
23002N 0.21 0.17 0.17 0.17
23002O 0.35 0.13 0.13 0.39
23002P 0.09 0.1 0.1 0.1
23002Q 0.33 0.24 0.24 0.21
23002R 1.1 0.2 0.2 0.2
23002S 0.1 0.1 0.09 0.09
23002T 0.56 0.28 0.28 0.28
23002U 0.17 0.12 0.12 0.11
23002V 0.11 0.11 0.11 0.11
23002W 0.15 0.14 0.14 0.14
23002X 0.17 0.15 0.15 0.15
23002Y 0.51 0.11 0.11 0.5
23002Z 0.17 0.15 0.15 0.15
230030 0.68 0.13 0.13 0.13
230031 0.17 0.18 0.18 0.18
230032 0.12 0.12 0.12 0.12
230033 1.04 0.17 0.17 0.17
230034 0.16 0.16 0.16 0.16
230035 0.66 0.18 0.18 0.19
230036 0.22 0.1 0.1 0.1
230037 0.19 0.14 0.14 0.15
230038 0.2 0.2 0.2 0.2
230039 0.2 0.17 0.17 0.17
23003A 0.29 0.26 0.26 0.25
23003B 0.94 0.16 0.16 0.16
23003C 0.18 0.16 0.16 0.18
23003D 0.21 0.19 0.19 0.19
23003E 0.16 0.14 0.14 0.14
23003F 0.19 0.15 0.15 0.17
23003G 0.32 0.15 0.15 0.17
23003I 0.75 0.13 0.15 0.15
23003H 0.5 0.1 0.11 0.11
23003J 0.13 0.14 0.14 0.14
23003K 0.47 0.21 0.21 0.21
23003L 0.13 0.15 0.11 0.11
23003M 0.42 0.18 0.18 0.17
23003N 0.33 0.14 0.14 0.15
23003O 0.1 0.09 0.09 0.09
23003P 0.5 0.82 0.34 0.52
23003Q 0.06 0.06 0.06 0.06
23003R 0.24 0.14 0.14 0.16
23003S 0.09 0.08 0.08 0.09
23003T 0.16 0.16 0.16 0.16
23003U 0.16 0.15 0.15 0.15
23003V 0.18 0.16 0.16 0.16
23003W 0.14 0.14 0.14 0.14
23003X 0.21 0.14 0.14 0.17
23003Y 0.07 0.06 0.06 0.06
230040 0.21 0.19 0.19 0.2
230042 0.17 0.14 0.14 0.14
230041 0.09 0.07 0.07 0.08
230043 0.63 0.11 0.11 0.11
230046 0.11 0.11 0.11 0.14
230047 0.64 0.61 0.61 0.58
230048 0.27 0.21 0.21 0.21
230049 0.1 0.08 0.08 0.08
23004A 0.13 0.13 0.13 0.13
23004B 0.77 0.53 0.15 0.16
23004C 0.22 0.19 0.19 0.22
23004D 0.17 0.15 0.15 0.17
23004E 0.12 0.13 0.13 0.13
23004F 0.12 0.11 0.1 0.11
23004G 0.09 0.08 0.08 0.08
23004H 0.74 0.13 0.13 0.13
23004I 0.15 0.1 0.1 0.13
23004K 0.49 0.11 0.11 0.13
23004J 0.15 0.15 0.15 0.16
23004L 0.2 0.16 0.16 0.17
23004M 0.06 0.07 0.07 0.07
23004N 0.06 0.07 0.07 0.07
23004O 0.15 0.1 0.1 0.1
23004P 0.16 0.14 0.14 0.15
23004Q 0.13 0.13 0.13 0.13
23004R 0.08 0.08 0.08 0.08
23004S 0.14 0.16 0.16 0.16
23004U 1.14 0.19 0.19 0.19
23004T 0.77 0.11 0.11 0.13
23004V 0.16 0.13 0.13 0.13
23004W 0.18 0.19 0.19 0.19
23004X 0.12 0.08 0.08 0.08
23004Y 0.09 0.06 0.06 0.07
23004Z 0.13 0.12 0.12 0.12
230050 0.13 0.13 0.13 0.13
230052 0.15 0.28 0.28 0.2
230051 0.2 0.16 0.16 0.18
230053 0.25 0.2 0.2 0.21
230054 0.1 0.1 0.1 0.1
230056 0.11 0.1 0.1 0.1
230055 0.17 0.16 0.16 0.16
230057 0.12 0.06 0.06 0.07
230058 0.12 0.12 0.12 0.11
230059 0.19 0.15 0.15 0.15
23005A 0.1 0.1 0.1 0.09
23005B 0.81 0.13 0.13 0.13
23005C 0.41 0.41 0.41 0.42
23005D 0.16 0.15 0.15 0.14
23005F 0.9 0.23 0.23 0.24
23005E 0.1 0.07 0.07 0.06
23005G 0.11 0.1 0.1 0.1
23005I 0.86 0.23 0.23 0.21
23005H 0.24 0.28 0.28 0.28
23005J 0.11 0.1 0.1 0.11
23005K 0.4 0.24 0.24 0.23
23005N 0.44 0.44 0.44 0.44
23005O 0.1 0.07 0.05 0.09
23005Q 0.13 0.08 0.08 0.09
23005M 0.1 0.06 0.06 0.07
23005L 0.16 0.12 0.12 0.16
23005R 0.15 0.15 0.15 0.15
23005S 0.1 0.09 0.09 0.09
23005T 0.45 0.11 0.1 0.1
23005V 0.07 0.07 0.07 0.07
23005U 0.07 0.06 0.06 0.05
23005W 0.81 0.18 0.18 0.19
23005X 0.19 0.19 0.16 0.17
23005Y 0.14 0.14 0.14 0.13
23005Z 0.26 0.22 0.22 0.22
230060 0.08 0.08 0.08 0.08
230061 0.26 0.23 0.23 0.23
230062 0.08 0.06 0.06 0.06
230063 0.19 0.18 0.18 0.19
230064 0.14 0.14 0.14 0.14
230065 0.11 0.1 0.1 0.09
230066 0.12 0.14 0.14 0.14
230067 0.25 0.2 0.2 0.2
230068 0.07 0.09 0.09 0.09
23006A 0.58 0.15 0.14 0.14
230069 0.24 0.14 0.14 0.17
23006B 0.21 0.16 0.16 0.16
23006C 0.19 0.14 0.14 0.15
23006D 0.3 0.2 0.2 0.26
23006E 0.06 0.06 0.06 0.05
23006F 0.07 0.06 0.07 0.07
23006G 0.11 0.1 0.1 0.1
23006H 0.15 0.12 0.12 0.14
23006I 0.28 0.25 0.24 0.23
23006J 0.23 0.21 0.21 0.21
23006K 0.73 0.19 0.19 0.75
23006L 0.23 0.22 0.22 0.22
23006N 0.08 0.09 0.09 0.09
23006M 0.25 0.24 0.24 0.23
23006O 0.15 0.12 0.12 0.12
23006P 0.13 0.12 0.12 0.12
23006Q 0.23 0.24 0.24 0.24
23006R 0.2 0.2 0.2 0.2
23006T 0.48 0.11 0.11 0.12
23006S 0.24 0.23 0.23 0.24
23006U 0.08 0.1 0.1 0.13
23006V 0.15 0.17 0.17 0.16
23006W 0.18 0.08 0.08 0.08
23006X 0.1 0.07 0.07 0.07
23006Y 0.1 0.07 0.07 0.08
23006Z 0.11 0.08 0.08 0.08
230070 0.1 0.11 0.11 0.1
230071 0.44 0.09 0.1 0.1
230072 0.18 0.17 0.17 0.18
230073 0.15 0.16 0.18 0.17
230074 0.26 0.21 0.21 0.21
230075 0.61 0.08 0.07 0.07
230076 0.1 0.08 0.08 0.08
230077 0.29 0.22 0.18 0.18
230078 0.6 0.22 0.22 0.41
230079 0.17 0.12 0.12 0.12
23007A 0.15 0.14 0.14 0.14
23007B 0.1 0.09 0.09 0.09
23007C 0.09 0.09 0.09 0.09
23007D 0.2 0.18 0.18 0.17
23007E 0.09 0.09 0.09 0.09
23007F 0.18 0.17 0.17 0.17
23007G 0.27 0.23 0.23 0.22
23007I 0.07 0.06 0.06 0.05
23007J 0.07 0.08 0.08 0.09
23007H 0.22 0.11 0.09 0.11
23007K 0.21 0.21 0.21 0.21
23007M 0.2 0.2 0.2 0.2
23007L 0.18 0.16 0.17 0.17
23007O 0.23 0.23 0.23 0.23
23007N 0.14 0.16 0.16 0.15
23007P 0.2 0.2 0.2 0.2
23007R 0.11 0.11 0.11 0.12
23007S 0.24 0.24 0.24 0.23
23007U 0.19 0.17 0.17 0.17
23007W 0.12 0.08 0.08 0.09
23007V 0.06 0.06 0.06 0.06
23007X 0.09 0.08 0.08 0.08
23007Y 0.91 0.09 0.09 0.09
23007Z 0.17 0.13 0.13 0.13
230080 0.1 0.17 0.17 0.17
230081 0.17 0.12 0.12 0.12
230082 0.59 0.13 0.13 0.18
230084 0.09 0.08 0.08 0.08
230083 0.62 0.12 0.12 0.12
230085 0.1 0.1 0.1 0.1
230086 0.1 0.08 0.08 0.09
230087 0.14 0.12 0.12 0.12
230088 0.09 0.1 0.1 0.1
230089 0.1 0.09 0.09 0.1
23008A 0.21 0.18 0.18 0.2
23008B 0.19 0.17 0.17 0.17
23008C 0.15 0.1 0.1 0.17
23008E 0.18 0.11 0.11 0.11
23008D 0.59 0.14 0.14 0.14
23008G 0.19 0.2 0.2 0.2
23008F 0.18 0.17 0.17 0.17
23008H 0.26 0.26 0.26 0.25
23008I 0.87 0.12 0.12 0.16
23008J 0.12 0.1 0.13 0.13
23008L 1.33 0.2 0.2 0.19
23008K 1.05 0.12 0.12 0.41
23008M 0.19 0.12 0.12 0.12
23008N 0.12 0.12 0.12 0.12
23008O 0.56 0.15 0.15 0.45
23008P 0.54 0.14 0.14 0.15
23008Q 0.11 0.1 0.1 0.1
23008R 0.14 0.12 0.12 0.13
23008S 0.18 0.09 0.08 0.1
23008T 0.12 0.11 0.11 0.11
23008U 0.08 0.08 0.08 0.08
23008V 0.13 0.12 0.12 0.12
23008W 0.07 0.07 0.07 0.07
23008X 0.1 0.1 0.1 0.1
23008Y 0.18 0.14 0.14 0.14
23008Z 0.17 0.15 0.15 0.14
230090 0.23 0.22 0.22 0.22
230091 0.14 0.12 0.12 0.12
230092 0.14 0.14 0.14 0.14
230093 0.2 0.18 0.18 0.18
230094 0.08 0.06 0.06 0.07
230095 0.24 0.19 0.19 0.22
230096 0.11 0.11 0.11 0.11
230097 0.94 0.09 0.09 0.09
230098 0.44 0.12 0.12 0.13
230099 0.16 0.15 0.15 0.16
23009A 0.1 0.09 0.09 0.09
23009C 0.09 0.08 0.08 0.08
23009B 0.21 0.2 0.2 0.21
23009D 0.23 0.17 0.17 0.2
23009E 0.15 0.15 0.15 0.15
23009F 0.48 0.17 0.17 0.14
23009G 0.2 0.16 0.16 0.16
23009H 0.19 0.2 0.2 0.19
23009I 0.88 0.14 0.14 0.11
23009J 0.1 0.11 0.11 0.11
23009K 0.14 0.11 0.11 0.12
23009L 0.16 0.18 0.18 0.18
23009M 0.16 0.16 0.16 0.16
23009O 0.07 0.07 0.07 0.07
23009N 0.09 0.07 0.07 0.07
23009P 0.26 0.23 0.23 0.23
23009Q 0.17 0.15 0.15 0.15
23009S 0.08 0.05 0.05 0.05
23009R 0.51 0.07 0.07 0.07
23009T 0.27 0.12 0.12 0.13
23009U 0.37 0.31 0.31 0.28
23009W 0.15 0.14 0.14 0.14
23009V 0.17 0.16 0.16 0.16
23009X 0.64 0.41 0.41 0.56
23009Y 0.23 0.18 0.18 0.18
23009Z 0.18 0.18 0.18 0.19
2300A0 0.57 0.57 0.57 0.56
2300A1 0.16 0.16 0.16 0.16
2300A2 0.08 0.08 0.08 0.08
2300A3 0.23 0.19 0.19 0.19
2300A5 0.1 0.11 0.11 0.11
2300A4 0.17 0.15 0.15 0.8
2300A6 0.19 0.15 0.15 0.15
2300A7 0.26 0.26 0.26 0.27
2300A8 0.13 0.13 0.13 0.13
2300A9 0.16 0.16 0.16 0.16
2300AA 0.06 0.06 0.06 0.06
2300AC 0.59 0.09 0.09 0.09
2300AB 0.33 0.19 0.19 0.25
2300AE 0.11 0.11 0.11 0.11
2300AD 0.19 0.13 0.13 0.15
2300AF 0.12 0.12 0.12 0.12
2300AG 0.13 0.12 0.12 0.13
2300AH 0.12 0.11 0.11 0.11
2300AJ 0.14 0.14 0.14 0.11
2300AI 0.14 0.09 0.09 0.12
2300AK 0.13 0.12 0.12 0.12
2300AL 0.6 0.11 0.11 0.13
2300AM 0.18 0.18 0.18 0.18
2300AO 0.63 0.18 0.18 0.16
2300AP 0.27 0.17 0.06 0.07
2300AQ 0.39 0.28 0.28 0.36
2300AR 0.19 0.13 0.13 0.13
2300AS 0.38 0.29 0.29 0.38
2300AT 0.57 0.15 0.15 0.14
2300AU 0.57 0.17 0.17 0.17
2300AV 0.2 0.13 0.13 0.12
2300AW 0.26 0.18 0.18 0.24
2300AX 0.08 0.05 0.05 0.05
2300AY 0.72 0.17 0.17 0.19
2300AZ 0.17 0.18 0.18 0.18
2300B0 0.8 0.08 0.08 0.08
2300B1 0.49 0.11 0.11 0.12
2300B2 0.27 0.27 0.27 0.27
2300B3 0.14 0.16 0.16 0.16
2300B5 0.06 0.07 0.07 0.07
2300B4 0.18 0.18 0.18 0.18
2300B6 0.11 0.1 0.1 0.1
2300B7 0.29 0.17 0.17 0.16
2300B8 0.14 0.08 0.08 0.1
2300B9 0.22 0.14 0.14 0.15
2300BA 0.53 0.12 0.12 0.12
2300BC 0.29 0.28 0.28 0.3
2300BB 0.18 0.16 0.16 0.17
2300BD 0.16 0.16 0.16 0.17
2300BF 0.29 0.2 0.2 0.17
2300BH 0.15 0.15 0.15 0.16
2300BG 0.21 0.21 0.21 0.21
2300BI 0.17 0.15 0.15 0.15
2300BK 0.09 0.05 0.05 0.05
2300BJ 0.17 0.14 0.14 0.14
2300BL 0.11 0.08 0.08 0.09
2300BN 0.16 0.15 0.15 0.16
2300BM 0.22 0.22 0.22 0.24
2300BO 0.23 0.12 0.12 0.12
2300BP 0.24 0.26 0.26 0.26
2300BQ 0.14 0.11 0.11 0.11
2300BR 0.24 0.24 0.23 0.24
2300BS 0.19 0.18 0.18 0.2
2300BT 0.11 0.1 0.1 0.1
2300BU 0.1 0.16 0.16 0.31
2300BW 0.73 0.2 0.2 0.21
2300BV 0.23 0.12 0.12 0.12
2300BX 0.78 0.14 0.14 0.12
2300BY 0.16 0.13 0.13 0.13
2300BZ 0.1 0.11 0.11 0.11
2300C0 1.12 0.16 0.16 0.16
2300C1 0.23 0.24 0.24 0.26
2300C2 0.15 0.16 0.16 0.16
2300C3 0.07 0.08 0.08 0.08
2300C4 0.14 0.13 0.13 0.13
2300C5 1.16 0.19 0.19 0.2
2300C6 0.18 0.18 0.16 0.14
2300C7 0.13 0.18 0.18 0.17
2300C8 0.11 0.07 0.07 0.07
2300C9 0.17 0.16 0.16 0.16
2300CA 0.18 0.19 0.19 0.19
2300CB 0.14 0.13 0.13 0.13
2300CC 0.71 0.08 0.08 0.1
2300CD 0.16 0.16 0.16 0.16
2300CF 0.25 0.21 0.21 0.22
2300CE 0.21 0.2 0.2 0.2
2300CG 0.17 0.14 0.14 0.15
2300CH 0.17 0.17 0.17 0.16
2300CI 0.12 0.09 0.09 0.1
2300CJ 0.15 0.16 0.16 0.17
2300CK 0.17 0.16 0.16 0.16
2300CL 0.09 0.06 0.06 0.06
2300CM 0.19 0.17 0.17 0.17
2300CO 0.28 0.23 0.23 0.25
2300CP 0.29 0.4 0.38 0.38
2300CQ 0.18 0.09 0.09 0.07
2300CR 0.18 0.17 0.17 0.18
2300CS 1.46 0.23 0.2 0.23
2300CT 0.17 0.14 0.14 0.14
2300CU 0.2 0.15 0.14 0.15
2300CV 0.34 0.22 0.23 0.25
2300CW 0.86 0.15 0.15 0.16
2300CX 0.22 0.21 0.21 0.21
2300CY 0.87 0.2 0.2 0.21
2300CZ 0.11 0.09 0.09 0.1
2300D0 0.28 0.18 0.18 0.19
2300D1 0.14 0.09 0.09 0.09
2300D2 0.14 0.13 0.13 0.12
2300D4 0.49 0.13 0.13 0.14
2300D5 0.1 0.09 0.09 0.12
2300D6 0.1 0.08 0.08 0.08
2300D7 0.1 0.1 0.1 0.1
2300D8 0.13 0.11 0.11 0.11
2300D9 0.14 0.15 0.15 0.15
2300DA 0.28 0.27 0.27 0.27
2300DC 0.45 0.12 0.12 0.14
2300DB 0.11 0.09 0.09 0.09
2300DD 0.13 0.1 0.1 0.11
2300DE 0.16 0.14 0.14 0.15
2300DF 1.0 0.46 0.43 0.44
2300DG 0.08 0.07 0.07 0.07
2300DH 0.15 0.08 0.08 0.09
2300DI 0.08 0.09 0.09 0.09
2300DJ 0.14 0.14 0.14 0.15
2300DK 0.09 0.06 0.06 0.06
2300DL 0.27 0.24 0.24 0.24
2300DM 0.08 0.08 0.08 0.08
2300DN 0.21 0.2 0.2 0.2
2300DO 0.15 0.13 0.13 0.15
2300DP 0.09 0.06 0.06 0.06
2300DQ 0.61 0.08 0.08 0.08
2300DR 0.18 0.17 0.17 0.17
2300DS 0.19 0.19 0.19 0.2
2300DT 0.2 0.18 0.18 0.18
2300DU 0.12 0.13 0.13 0.13
2300DV 0.22 0.19 0.19 0.21
2300DW 0.35 0.08 0.08 0.1
2300DX 0.76 0.82 0.82 0.81
2300DY 0.15 0.13 0.13 0.13
2300DZ 0.19 0.18 0.18 0.19
2300E1 0.08 0.06 0.06 0.06
2300E0 0.45 0.08 0.08 0.07
2300E2 0.1 0.09 0.09 0.09
2300E3 0.25 0.17 0.17 0.16
2300E4 0.1 0.11 0.11 0.11
2300E5 0.08 0.08 0.08 0.08
2300E6 0.17 0.15 0.15 0.15
2300E8 0.1 0.1 0.1 0.11
2300E7 0.17 0.13 0.13 0.15
2300EA 0.15 0.15 0.15 0.15
2300E9 0.67 0.14 0.14 0.14
2300EB 0.15 0.18 0.18 0.18
2300EC 0.09 0.09 0.09 0.09
2300ED 0.17 0.17 0.17 0.17
2300EE 0.09 0.08 0.08 0.09
2300EF 0.43 0.13 0.13 0.13
2300EH 0.13 0.12 0.12 0.12
2300EG 0.13 0.13 0.13 0.12
2300EI 0.11 0.1 0.1 0.1
2300EK 0.16 0.15 0.15 0.15
2300EL 0.09 0.08 0.08 0.08
2300EM 0.15 0.14 0.12 0.13
2300EN 0.69 0.26 0.26 0.7
2300EO 0.23 0.14 0.14 0.14
2300EP 0.25 0.24 0.24 0.24
2300ER 0.11 0.11 0.11 0.11
2300ES 0.26 0.25 0.25 0.24
2300ET 0.13 0.13 0.13 0.13
2300EU 0.24 0.22 0.22 0.22
2300EW 0.24 0.24 0.24 0.24
2300EV 0.25 0.27 0.27 0.25
2300EX 0.11 0.15 0.15 0.15
2300EY 0.92 0.13 0.13 0.14
2300F0 0.09 0.13 0.13 0.13
2300F2 0.15 0.14 0.14 0.14
2300F3 0.61 0.21 0.21 0.21
2300F4 0.09 0.1 0.1 0.09
2300F5 0.27 0.24 0.21 0.21
2300F6 0.18 0.09 0.09 0.09
2300F7 0.19 0.18 0.18 0.19
2300F8 0.23 0.23 0.23 0.23
2300F9 0.14 0.14 0.14 0.14
2300FA 0.12 0.12 0.12 0.12
2300FB 0.22 0.22 0.22 0.22
2300FC 0.22 0.22 0.22 0.22
2300FD 0.14 0.12 0.12 0.12
2300FE 0.06 0.07 0.07 0.07
2300FF 0.22 0.09 0.09 0.1
2300FG 0.12 0.08 0.08 0.08
2300FH 0.14 0.14 0.14 0.14
2300FI 0.17 0.15 0.15 0.15
2300FJ 0.18 0.14 0.13 0.13
2300FK 0.11 0.11 0.11 0.11
2300FL 0.21 0.17 0.17 0.17
2300FM 0.29 0.28 0.28 0.28
2300FN 0.68 0.11 0.11 0.12
2300FO 0.18 0.17 0.17 0.17
2300FP 0.1 0.09 0.09 0.09
2300FQ 0.08 0.07 0.07 0.08
2300FR 0.11 0.11 0.11 0.11
2300FS 0.18 0.54 0.07 0.09
2300FT 0.12 0.1 0.1 0.1
2300FV 0.31 0.31 0.31 0.29
2300FU 0.32 0.29 0.29 0.3
2300FW 0.63 0.65 0.65 0.65
2300FY 0.16 0.16 0.16 0.15
2300FX 0.2 0.18 0.18 0.19
2300G0 0.22 0.2 0.2 0.21
2300G1 0.62 0.08 0.08 0.62
2300G2 0.32 0.19 0.19 0.19
2300G3 0.92 0.92 0.92 0.92
2300G4 0.39 0.39 0.39 0.39
2300G5 0.57 0.38 0.39 0.5
2300G6 1.26 0.12 0.12 0.12
2300G7 0.22 0.2 0.2 0.2
2300G8 0.14 0.1 0.1 0.11
2300G9 0.55 0.05 0.05 0.05
2300GA 0.11 0.11 0.11 0.12
2300GB 0.1 0.11 0.11 0.11
2300GC 0.23 0.16 0.16 0.16
2300GE 0.13 0.11 0.11 0.11
2300GD 0.16 0.14 0.14 0.14
2300GF 0.18 0.11 0.11 0.12
2300GG 0.34 0.33 0.33 0.34
2300GK 0.91 0.08 0.08 0.09
2300GJ 0.1 0.05 0.05 0.06
2300GI 0.2 0.19 0.19 0.19
2300GL 0.29 0.27 0.27 0.28
2300GM 0.14 0.13 0.13 0.13
2300GN 1.32 0.25 0.23 0.24
2300GP 0.08 0.09 0.09 0.09
2300GQ 0.09 0.09 0.09 0.1
2300GO 0.13 0.12 0.12 0.12
2300GR 0.07 0.06 0.06 0.06
2300GS 0.08 0.07 0.07 0.07
2300GT 0.25 0.24 0.24 0.24
2300GV 0.11 0.11 0.11 0.11
2300GW 0.19 0.19 0.19 0.19
2300GX 0.13 0.1 0.12 0.11
2300GY 0.46 0.14 0.14 0.14
2300GZ 0.22 0.24 0.24 0.25
2300H0 0.14 0.11 0.11 0.12
2300H1 0.44 0.15 0.15 0.15
2300H3 0.11 0.12 0.12 0.12
2300H2 0.13 0.12 0.12 0.12
2300H4 0.26 0.21 0.21 0.21
2300H5 0.65 0.15 0.15 0.15
2300H6 0.41 0.25 0.21 0.23
2300H7 0.14 0.14 0.14 0.14
2300H8 0.58 0.06 0.06 0.06
2300H9 0.67 0.13 0.13 0.14
2300HA 0.1 0.09 0.09 0.09
2300HB 0.23 0.22 0.22 0.22
2300HC 0.22 0.23 0.23 0.23
2300HD 0.13 0.09 0.09 0.1
2300HF 0.09 0.09 0.09 0.09
2300HE 0.12 0.12 0.12 0.12
2300HG 0.44 0.11 0.08 0.09
2300HH 0.12 0.11 0.11 0.1
2300HI 0.14 0.15 0.15 0.15
2300HJ 0.1 0.11 0.11 0.11
2300HK 0.17 0.12 0.12 0.13
2300HM 0.13 0.12 0.12 0.12
2300HL 0.15 0.12 0.12 0.12
2300HN 0.66 0.14 0.14 0.14
2300HO 0.17 0.21 0.21 0.21
2300HP 0.12 0.08 0.08 0.08
2300HQ 0.19 0.17 0.17 0.18
2300HR 0.22 0.24 0.24 0.23
2300HS 0.14 0.13 0.13 0.13
2300HU 0.15 0.15 0.15 0.14
2300HT 0.11 0.06 0.06 0.06
2300HV 0.28 0.25 0.25 0.4
2300HW 0.09 0.07 0.07 0.08
2300HX 0.54 0.15 0.15 0.15
2300HZ 0.23 0.23 0.23 0.23
2300HY 0.13 0.13 0.13 0.13
2300I1 0.24 0.24 0.24 0.24
2300I2 0.47 0.06 0.06 0.05
2300I3 0.1 0.1 0.1 0.1
2300I4 0.18 0.16 0.16 0.16
2300I5 0.34 0.15 0.15 0.16
2300I6 0.14 0.15 0.15 0.15
2300I7 0.14 0.13 0.13 0.14
2300I8 0.79 0.28 0.28 0.44
2300I9 0.2 0.17 0.17 0.2
2300IA 0.11 0.15 0.15 0.15
2300IC 0.05 0.06 0.06 0.06
2300IB 0.16 0.14 0.14 0.14
2300IE 0.09 0.08 0.08 0.08
2300IF 0.12 0.12 0.12 0.12
2300IG 0.12 0.09 0.09 0.09
2300IH 0.12 0.13 0.13 0.12
2300IJ 0.63 0.11 0.11 0.12
2300II 0.92 0.28 0.47 0.73
2300IL 0.53 0.27 0.27 0.27
2300IM 0.27 0.19 0.19 0.17
2300IN 0.13 0.06 0.06 0.08
2300IO 0.11 0.08 0.08 0.09
2300IP 1.17 0.25 0.24 0.24
2300IQ 0.25 0.24 0.24 0.25
2300IR 0.25 0.18 0.18 0.17
2300IS 0.22 0.17 0.17 0.17
2300IT 0.14 0.12 0.12 0.13
2300IV 0.08 0.07 0.07 0.07
2300IU 0.07 0.06 0.06 0.06
2300IW 0.16 0.14 0.14 0.14
2300IX 0.18 0.18 0.18 0.18
2300IY 0.07 0.06 0.05 0.05
2300J0 0.1 0.07 0.07 0.07
2300IZ 0.12 0.09 0.09 0.09
2300J1 0.1 0.08 0.08 0.1
2300J2 0.14 0.11 0.11 0.11
2300J3 0.1 0.11 0.11 0.11
2300J4 0.14 0.09 0.09 0.1
2300J5 0.17 0.08 0.08 0.08
2300J6 0.55 0.15 0.15 0.15
2300J8 0.18 0.16 0.16 0.16
2300J7 0.67 0.25 0.25 0.66
2300JA 0.51 0.13 0.13 0.13
2300J9 0.11 0.11 0.11 0.11
2300JB 0.14 0.14 0.14 0.14
2300JC 0.18 0.17 0.17 0.17
2300JD 0.12 0.13 0.13 0.12
2300JE 0.15 0.12 0.12 0.12
2300JF 0.07 0.06 0.06 0.07
2300JH 0.13 0.13 0.13 0.13
2300JG 0.11 0.11 0.11 0.11
2300JI 0.58 0.35 0.34 0.33
2300JJ 0.24 0.2 0.2 0.21
