#E_qm E_ini E_opt E_reo E_ret zincID
0.00	0.00 	0.00 	0.00 	0.00 23000X 
0.16	0.00 	0.00 	0.00 	0.00 23000Z 
0.00	0.00 	0.00 	0.00 	0.00 230010 
4.19	1.61 	0.00 	0.00 	0.00 230011 
0.38	6.56 	7.76 	7.76 	7.69 230013 
2.96	0.00 	0.00 	0.00 	0.00 230013 
3.19	0.47 	0.35 	0.35 	0.30 230013 
3.83	12.26 	2.90 	2.90 	3.21 230013 
4.07	11.90 	2.99 	2.99 	3.03 230013 
5.76	10.81 	1.28 	1.28 	1.34 230013 
7.25	16.20 	14.27 	14.27 	14.24 230013 
7.81	16.90 	15.25 	15.25 	15.10 230013 
5.92	0.15 	1.50 	1.50 	0.97 230014 
1.84	0.33 	1.37 	1.37 	1.36 230016 
0.35	1.99 	2.19 	2.19 	2.26 230017 
1.67	0.00 	0.00 	0.00 	0.10 230019 
0.00	0.41 	0.16 	0.16 	0.15 23001A 
0.24	0.00 	0.00 	0.00 	0.00 23001A 
0.00	0.14 	0.00 	0.00 	0.03 23001B 
0.00	0.00 	0.00 	0.00 	0.00 23001C 
0.00	0.45 	0.00 	0.03 	0.04 23001C 
0.00	0.00 	0.22 	0.22 	0.24 23001D 
0.00	0.28 	0.00 	0.00 	0.00 23001D 
0.00	0.56 	0.24 	0.24 	0.23 23001D 
0.00	0.00 	0.22 	0.22 	0.24 23001D 
1.79	1.85 	1.77 	1.77 	1.81 23001D 
1.79	2.42 	1.79 	1.79 	1.82 23001D 
1.82	1.91 	1.81 	1.81 	1.85 23001D 
3.52	3.40 	2.65 	2.65 	2.65 23001D 
3.52	2.83 	2.62 	2.62 	2.64 23001D 
3.55	3.43 	2.70 	2.70 	2.69 23001D 
3.55	3.44 	2.71 	2.71 	2.70 23001D 
3.74	3.55 	3.22 	3.22 	3.17 23001D 
3.52	3.12 	2.39 	2.39 	2.39 23001D 
4.50	7.69 	7.48 	7.48 	7.48 23001D 
3.77	3.30 	3.02 	3.02 	2.94 23001D 
3.52	2.83 	2.62 	2.62 	2.63 23001D 
3.52	2.83 	2.62 	2.62 	2.63 23001D 
3.74	3.55 	3.22 	3.22 	3.17 23001D 
3.77	3.58 	3.27 	3.27 	3.19 23001D 
0.06	0.35 	0.08 	0.08 	0.07 23001D 
0.08	1.51 	1.54 	1.54 	1.54 23001F 
5.61	11.18 	11.07 	11.07 	11.08 23001F 
5.64	12.50 	12.44 	12.44 	12.46 23001F 
