#E_RMSD:ini opt reo ret zincID
0 0 0 0 ZINC000001870603
0.92 0.45 0.45 0.74 ZINC000001870603_1
1.68682 1.26678 1.26678 1.26829 ZINC000002012927
0.2 0.38 0.38 0.38 ZINC000002037527_1
2.94327 1.56103 1.56103 1.43975 ZINC000002038421
1.53483 3.89831 3.89831 3.56455 ZINC000002043262
1.89484 2.40325 2.40325 2.10746 ZINC000002048036_2
0.17 0.05 0.05 0.05 ZINC000002232417_1
0 0 0 0 ZINC000002292870n_1
0.07 0.07 0.07 0.07 ZINC000002384500
2.0098 1.55086 1.55086 1.87807 ZINC000002386480n
2.67248 0.396064 0.396064 0.364463 ZINC000002488985
3.73 2.81 2.81 3.07 ZINC000002506754
0 0 0 0 ZINC000002507566
1.12 1.12 1.12 1.12 ZINC000002507829
2.27161 0.0302372 0.0302372 0.0396412 ZINC000002509844
1.62 1.62 1.62 1.62 ZINC000002511723
1.47953 3.97648 3.97648 3.93089 ZINC000002511723n
1.0074 0.409939 0.409939 0.474605 ZINC000002511723n_2
1.74897 0.713863 1.40236 1.57762 ZINC000002511723n_3
8.32034 8.1539 8.1539 8.1539 ZINC000002516028
2.58 0.25 0.25 0.25 ZINC000002524420
8.12353 2.78577 2.98893 3.87579 ZINC000002529367
3.24536 1.07997 1.07997 0.960659 ZINC000002556216
4.07353 3.48488 3.48488 3.49131 ZINC000002556216n
1.95082 0.263601 1.76858 2.05569 ZINC000002573398
1.47853 1.36439 1.36439 1.36029 ZINC000002577992
0.67 1.91 1.91 1.85 ZINC000002583571
0.12 0.12 0.12 0.12 ZINC000002584295
0 0 0 0 ZINC000002599164
0 0 0 0 ZINC000002774749_1
0.729566 0.647585 0.670398 0.748109 ZINC000002778777_2
0.0406202 0.202114 0.202114 0.202114 ZINC000002786753
0 0 0 0 ZINC000003029908_1
1.54755 0.94838 0.94838 0.943464 ZINC000003080625_1
4.36 0.71 0.71 0.64 ZINC000003086176_1
0 0 0 0 ZINC000003127918
0.626618 0.485489 0.516236 0.500899 ZINC000003132279
0.58 0.58 0.58 0.58 ZINC000003137923
2.3 1.15 1.15 1.09 ZINC000003165873
0.0738241 1.45129 0.549045 0.277849 ZINC000003189195
0.38 0.22 0.22 0.23 ZINC000003230885
0.21 0.12 0.12 0.14 ZINC000003468889_1
1.07223 1.33147 1.33147 1.32843 ZINC000003468889n
1.15039 0.0848528 0.0848528 0.0919239 ZINC000003628406
3.98 1.72 1.72 2.22 ZINC000003647272n
1.78901 1.26291 1.26291 1.28564 ZINC000003704331
1.98317 0.614329 0.614329 0.580151 ZINC000003732452
1.41019 0.576869 0.576869 0.575895 ZINC000003732484
0.107005 0.53033 0.53033 0.476288 ZINC000003732484_1
6.21 1.41 1.41 0.18 ZINC000003845199
0.907735 1.47574 1.47574 1.57956 ZINC000003845997
0.72 1.87 1.87 1.83 ZINC000003847683
0.03 0.05 0.05 0.05 ZINC000003848005_1
2.98777 1.40587 1.40587 1.39799 ZINC000003848247
0.432261 0.199625 0.199625 0.233452 ZINC000003848293
0 0 0 0 ZINC000003848355
0.762955 0.433417 1.09282 1.15156 ZINC000003887489n
0 0 0 0 ZINC000003887569_1
1.52481 0.832887 0.832887 0.867785 ZINC000003937375n_1
2.30349 0.468882 1.6856 1.58644 ZINC000003993826
2.08864 2.14304 2.14304 2.17757 ZINC000004023402_1
3.98 0.41 0.41 0.51 ZINC000004025328_1
3.37087 2.79064 2.79064 2.93786 ZINC000004026369
2.76358 5.36604 5.36604 5.31854 ZINC000004097541
1.8 1.8 1.8 1.8 ZINC000004189718
0 0 0 0 ZINC000004189718_1
3.72645 2.3368 2.3368 2.14334 ZINC000004202974
9.01997 7.3535 8.21697 8.20518 ZINC000004214486
4.95247 1.00721 1.00721 0.952698 ZINC000004214486_2
0.72 0.21 0.21 0.21 ZINC000004237890
3.04512 2.84156 2.84156 2.84461 ZINC000004237890n
2.48356 1.57721 1.57721 1.57118 ZINC000004262098
2.7 2.7 2.7 2.7 ZINC000004271993
2.64434 1.96373 1.96373 2.31974 ZINC000004303615
2.40692 2.02255 2.02255 2.11535 ZINC000004329339
0.68 0.04 0.04 0 ZINC000004419542_1
1.07982 1.27472 1.27472 1.29905 ZINC000004521853
2.41742 0.668072 0.668072 0.67155 ZINC000004642428
1.87 1.13 1.13 1.15 ZINC000004663220_1
10.69 0.23 0.23 0.34 ZINC000004708120_1
2.97151 1.56416 1.56416 1.58518 ZINC000004715062n
1.89056 1.2899 1.2899 1.26123 ZINC000004718856
1.97172 2.52572 2.52572 2.5191 ZINC000004722141n
0.705493 2.31354 2.31354 2.29024 ZINC000004753987
1.2116 1.68188 1.68188 1.72116 ZINC000004765095
0.930206 1.63006 1.63006 1.65672 ZINC000004776052
3.54402 2.78892 2.78892 2.76391 ZINC000004777715
3.07882 1.60442 1.60442 1.19019 ZINC000004800545
0 0 0 0 ZINC000004803017
3.40114 3.76455 3.76455 3.80753 ZINC000004803017n
0.35 0.38 0.38 0.35 ZINC000004803166
0 0 0 0 ZINC000004812189
1.46 0.09 0.09 0.97 ZINC000004829905
3.2 0.08 0.08 0.45 ZINC000004831127_1
0 0 0 0 ZINC000004837503
5.20416 4.95299 4.95299 4.85824 ZINC000004945865
0.87941 0.894548 0.894548 0.879711 ZINC000004948170
0.952922 0.680941 0.680941 0.723257 ZINC000004972506n
3.11137 1.36555 1.36555 1.40927 ZINC000004983935
0.18 0.42 0.42 0.39 ZINC000005004779n
1.98592 1.28383 1.28383 1.77144 ZINC000005046237n
5.66291 3.72972 3.72972 3.71913 ZINC000005064297
0 0 0 0 ZINC000005092432
2.89849 3.48049 3.48049 3.494 ZINC000005103411
0.180278 0.180278 0.180278 0.180278 ZINC000005120986
2.82108 1.32042 1.32042 1.31279 ZINC000005282860
0.837341 0.918608 0.918608 0.914079 ZINC000005282936
1.55629 0.866283 0.866283 1.03865 ZINC000005328863
3.44 0.13 0.13 1.57 ZINC000005356732
0.65 0.48 0.48 0.47 ZINC000005368516_1
0 0 0 0 ZINC000005375234
0.105948 0.105948 0.105948 0.105948 ZINC000005377859
3.13268 2.0396 2.0396 1.93011 ZINC000005392875
1.17 0.27 0.27 0.3 ZINC000005398141_2
1.73825 5.45157 5.45157 5.13748 ZINC000005409176
0.49 0.49 0.49 0.49 ZINC000005422896
1.44931 1.35049 1.35049 1.28891 ZINC000005482225
2.06178 1.34035 1.34035 1.36004 ZINC000005495750
3.56725 1.91289 1.91289 1.95316 ZINC000005496263_1
0.02 0.02 0.02 0.02 ZINC000005496347_1
5.06997 0.956339 0.956339 0.791086 ZINC000005496377_1
0.75 0.32 0.32 0.2 ZINC000005514950
0.80486 1.63313 1.63313 1.7733 ZINC000005551296_1
4.27356 4.92574 4.92574 5.02991 ZINC000005551296n
4.29541 4.24632 4.24632 4.23421 ZINC000005551296n_1
4.78219 4.76708 4.76708 4.70747 ZINC000005566939
6.96312 4.09209 4.09209 4.63911 ZINC000005572792
0.03 0.32 0.32 0.27 ZINC000005583033_1
1.06 1.06 1.06 1.06 ZINC000005583033_1_1
5.25363 5.33786 5.33786 5.33463 ZINC000005600318n
1.08444 0.689391 0.689391 0.689391 ZINC000005659883
0.121244 0.121244 0.121244 0.121244 ZINC000005684049
6.01714 2.45694 2.45694 2.27899 ZINC000005741199
1.30125 0.0212132 0.0212132 0.0494975 ZINC000005742670_1
2.43306 1.68683 1.68683 1.77832 ZINC000005760696
2.76407 0.61971 0.61971 0.63682 ZINC000005760696_1
8.48 0.37 0.37 0.46 ZINC000005773132_1
0.65 0.66 0.66 0.79 ZINC000005928269_2
1.34811 1.11859 1.11859 1.17646 ZINC000005928269n
1.2 0.22 0.22 0.66 ZINC000005932712
0 0 0 0 ZINC000005939868
16.5 1.71 1.71 1.71 ZINC000005939868_1
4.57258 2.68594 2.68594 2.70721 ZINC000005986331
2.88 0.28 0.28 0.3 ZINC000005997783
0 0 0 0 ZINC000006069105
1.79195 2.6449 2.6449 2.65147 ZINC000006158590
3.45495 0.919755 0.919755 0.919755 ZINC000006361500
0.5 0.15 0.15 0.15 ZINC000006420595
0 0 0 0 ZINC000006448831_1
1.86 1.79 1.79 1.86 ZINC000006504156
2.10648 0.529009 0.529009 0.52469 ZINC000006566832_1
0.07 0.07 0.07 0.07 ZINC000006672310
0.0173205 0.0173205 0.0173205 0.0173205 ZINC000006815534
0 0 0 0 ZINC000007141472
0.150333 3.3253 3.3253 3.06533 ZINC000007778791
0.666825 1.6403 1.6403 1.61517 ZINC000008100974
0.0163299 0.0163299 0.0163299 0.0163299 ZINC000008299379
0.788923 0.0636396 0.0636396 0.106066 ZINC000008413630
0.113137 0.113137 0.113137 0.113137 ZINC000008413630_1
1.24467 1.2398 1.2398 1.20721 ZINC000008575676
5.45929 0.115036 0.115036 0.287344 ZINC000008616088
2.45267 2.42495 2.42495 2.47658 ZINC000008618569
2.2 1.56 1.56 1.49 ZINC000008731869
2.77285 0.991508 0.991508 1.9902 ZINC000008731869n
0.61131 0.0860233 0.0860233 0.142127 ZINC000008755350
7.95 3.37 3.37 2.87 ZINC000009954092_1
0.01 0.01 0.01 0.01 ZINC000011567736
2.67635 1.5833 1.5833 1.33963 ZINC000011567736n
4.1018 2.27651 2.27651 2.30858 ZINC000011597105n
1.60466 0.412884 0.412884 0.43299 ZINC000011631704n
3.43001 3.39518 3.39518 3.34037 ZINC000011848828
2.768 2.67416 2.67416 2.8305 ZINC000011848828n
4.06868 3.90301 3.90301 3.96764 ZINC000011867375
0.790746 1.33468 1.33468 1.33468 ZINC000011920335
4.97873 4.69286 4.69286 4.3507 ZINC000012153222
6.0739 2.40903 2.40903 2.46454 ZINC000012359370
1.72884 1.88905 1.88905 1.60856 ZINC000012360535n
0.0173205 0.034641 0.034641 0.034641 ZINC000012394573
0.8339 0.569219 0.569219 0.537196 ZINC000012394573n
3.46874 3.21303 3.21303 2.91117 ZINC000012416954
2.1958 2.02516 2.02516 1.96446 ZINC000012433147
1.75553 1.00429 1.00429 0.530723 ZINC000012446871
2.26988 2.85453 2.85453 2.75308 ZINC000012504937
0.0710634 0.0640312 0.0640312 0.0710634 ZINC000012603478
2.97582 2.59011 2.59011 2.53876 ZINC000012650823_1
2.49 0.26 0.26 0.29 ZINC000013209422
0.370473 0.522733 1.40152 0.522733 ZINC000013228217
3.44452 2.53738 2.53738 2.60217 ZINC000013284845n
0.234691 0.234691 0.234691 0.234691 ZINC000013284968n
4.67334 2.72481 2.72481 2.8425 ZINC000013437802
2.72496 2.63833 2.63833 2.61305 ZINC000013525814
0.23 0.23 0.23 0.23 ZINC000013573731
0.982878 1.37886 1.37886 1.24451 ZINC000013637396
3.09714 0.311127 0.311127 0.0141421 ZINC000013653875
2.49783 1.48769 1.48769 1.60591 ZINC000013653875n
3.55845 2.16872 2.16872 1.19572 ZINC000013858485
3.87779 2.66191 2.66191 2.62688 ZINC000013997957_1
1.66 1.52 1.52 1.49 ZINC000014988034
0 0 0 0 ZINC000015444386
1.37972 1.39876 1.39876 1.39715 ZINC000015864704
0.05 0.05 0.05 0.05 ZINC000016159453
3.88 1.41 1.41 1.38 ZINC000016954046_1
0.65 0.65 0.65 0.65 ZINC000017025509
0.12 0.12 0.12 0.12 ZINC000017107912_1
3.72 0.98 0.98 0.98 ZINC000017126154
2.08 0.55 0.55 0.61 ZINC000017142425_1
4.12546 3.19502 3.19502 2.89721 ZINC000017191210
2.36881 0.410122 0.410122 0.367696 ZINC000017299419
4.67 1.26 1.26 1.31 ZINC000018208791
3.40109 3.31835 3.31835 3.31835 ZINC000018323561
0 0 0 0 ZINC000019091590
8.73136 2.19525 2.49299 2.80638 ZINC000019319542
4.14879 2.36746 2.36746 2.43352 ZINC000019325717_2
1.32567 3.08876 2.24104 2.2066 ZINC000019329234
2.56406 5.82851 5.82851 5.57735 ZINC000019345434
3.0029 3.92589 3.92589 4.31037 ZINC000019390946
3.37802 3.50651 3.50651 2.88209 ZINC000019470639
2.38382 1.24271 1.24271 1.32848 ZINC000019504940
0 0 0 0 ZINC000019754878
1.58 1.11 1.11 1.4 ZINC000019770046n
3.89599 3.78838 3.78838 3.78073 ZINC000019801200_1
5.87237 2.15716 2.15716 2.149 ZINC000019831265_1
3.40743 2.97073 2.97073 2.96353 ZINC000019865660
0.664116 0.190919 0.190919 0.247487 ZINC000019909419
3.29826 0.763769 0.763769 0.763825 ZINC000019947314_1
5.23254 4.71292 4.71292 4.84296 ZINC000020113932n
1.95 0.66 0.66 0.4 ZINC000020281466
0.0212132 0 0 0 ZINC000020282640_1
0 0 0 0 ZINC000020286599
0.59397 0.59397 0.59397 0.59397 ZINC000020354504
3.92708 2.81145 2.81145 2.79642 ZINC000020380764n
1.87383 1.73948 1.73948 1.59806 ZINC000020440507
0.00707107 0.00707107 0.00707107 0.00707107 ZINC000020445716
2.19667 0.27559 0.27559 0.269722 ZINC000020534067
0 0 0 0 ZINC000020534579_1
0.24 0.24 0.24 0.24 ZINC000020581282_1
0.79 0.83 0.83 0.83 ZINC000020720251_1
1.2904 1.32065 1.32065 2.34169 ZINC000020973650n
2.16116 1.22206 1.22206 1.16136 ZINC000021297338
0.76 0.32 0.32 0.54 ZINC000021949999
1.41835 1.41638 1.41638 1.41337 ZINC000021949999n
0.498063 0.0571548 0.0571548 0.0244949 ZINC000021953421
0 0 0 0 ZINC000021953421_2
20.7578 21.3236 21.3236 21.3394 ZINC000021985153n
2.97607 2.97268 2.97268 3.12501 ZINC000022015856
3.35439 2.71263 2.71263 2.73041 ZINC000022055084
2.1677 2.07701 2.07701 2.15501 ZINC000022115648n
5.52941 3.84504 3.84504 4.01208 ZINC000022788807n
10.4128 4.94572 4.94572 4.65767 ZINC000023066147
2.18569 2.04978 2.04978 2.21514 ZINC000023066147_1
5.1592 1.35127 1.35127 1.44531 ZINC000023070350
1.04609 0.809856 0.809856 0.809856 ZINC000023070350_1
3.30714 3.17831 3.17831 3.48201 ZINC000025336397
2.16315 2.94717 1.76578 1.24645 ZINC000025757901n
2.27235 3.0941 3.0941 2.93075 ZINC000026422980n
0.59397 2.92035 2.92035 0.59397 ZINC000026502377
0.55 0.54 0.54 3.19 ZINC000026742018
0 0 0 0 ZINC000026895446
1.18983 1.13864 1.13864 1.09659 ZINC000026898894
0 0 0 0 ZINC000028294478
0.45 0.03 0.03 0.03 ZINC000028873866
0 0 0 0 ZINC000028873866_2
6.0361 2.39006 2.39006 2.42538 ZINC000031819861
1.64012 1.63012 1.63012 1.63012 ZINC000032099445
1.82 0.26 0.26 0.3 ZINC000032182542
1.24876 1.0329 1.0329 0.849541 ZINC000032208683
1.8251 2.90284 2.90284 2.87716 ZINC000032501004
6.26478 2.59048 2.82075 2.85254 ZINC000032629462n
1.34729 2.73363 2.73363 2.69669 ZINC000032650373
1.3213 1.19612 1.19612 1.39355 ZINC000032919481_2
1.87264 1.55386 1.55386 1.68933 ZINC000033374122
3.83434 2.73303 2.73303 2.46959 ZINC000033487145
1.7801 2.38376 2.38376 2.34194 ZINC000033755328
0.86 1.07 1.07 1.05 ZINC000033779816
1.39043 0.314006 0.314006 0.320156 ZINC000033855254_2
4.65922 4.67674 4.67674 4.71017 ZINC000034183726
0.81 0.81 0.81 0.81 ZINC000034235494
3.66281 1.08187 1.08187 1.35765 ZINC000034278388
2.79475 4.4105 4.4105 4.32882 ZINC000034290676_1
0.86267 0.282843 0.282843 0.353553 ZINC000034380900
3.93165 2.29834 2.24939 2.17557 ZINC000034380901
2.86006 2.92441 2.92441 2.9213 ZINC000034407239
0 0 0 0 ZINC000034490455
0 0 0 0 ZINC000034555277
2.42 0.49 0.49 0.5 ZINC000034571268_1
1.32112 0.75966 0.75966 0.881249 ZINC000034618206_1
2.22904 2.67015 2.67015 2.63467 ZINC000034771056
2.67662 2.38975 2.38975 2.437 ZINC000035458091
3.2206 2.19296 2.19296 1.96709 ZINC000035570805
0.395796 1.51453 1.51453 1.49028 ZINC000035570805_1
3.60602 2.22415 2.22415 1.9856 ZINC000035644930
2.55021 2.41445 2.41445 2.41273 ZINC000035644930n
0.05 0.05 0.05 0.05 ZINC000035731136
1.1547 0.946854 0.946854 1.33368 ZINC000035970936
1.03632 2.23725 2.23725 2.30392 ZINC000036140943n
0 0 0 0 ZINC000036222630_1
2.32587 1.97342 1.97342 2.01122 ZINC000036472809
6.52 1.96 1.96 3.03 ZINC000036533315
0.16 0.16 0.16 0.16 ZINC000036722181_1
2.45382 1.28869 1.28869 1.28556 ZINC000037180282
2.25 2.5 2.5 2.49 ZINC000037240057_1
2.86236 2.25146 2.25146 2.47565 ZINC000037408014
0 0 0 0 ZINC000037439210
0.969263 0.238447 0.238447 0.336218 ZINC000037439210n
1.66971 1.22674 1.22674 2.5304 ZINC000037730507
1.09 1.09 1.09 1.09 ZINC000038063705
1.75 1.88 1.88 1.51 ZINC000038124736
2.40146 0.622525 0.622525 0.744619 ZINC000038124736n
0.89 0.23 0.23 2.13 ZINC000038124736n_1
0 0 0 0 ZINC000038391975
10.7834 1.94849 1.94849 1.99958 ZINC000038583212
2.98703 2.43928 2.43928 2.48335 ZINC000039101372
2.81779 1.94704 1.94704 1.96923 ZINC000039113424n_2
4.31795 4.38665 4.38665 4.44093 ZINC000039119147_1
1.13995 1.1378 1.1378 1.10306 ZINC000039148328
2.13 2.13 2.13 2.13 ZINC000039243736
3.27519 0.266177 0.0316228 0.0806226 ZINC000039253580
1.28 0.52 0.52 0.49 ZINC000039254274
5.40161 2.05501 4.60142 4.67736 ZINC000039269407n
6.1929 1.01334 1.01334 1.03154 ZINC000039279376_1
0.362629 1.1046 1.1046 1.09459 ZINC000039339470
1.38294 1.11032 1.11032 1.09093 ZINC000039339470n
0 0 0 0 ZINC000039369942
0.57 0 0 0 ZINC000040448357
1.20948 2.58965 2.58965 2.46067 ZINC000040539044
4.11318 4.90204 4.90204 5.29664 ZINC000041671393
2.58498 2.42887 2.42887 2.41244 ZINC000041701782n
2.89582 4.40711 4.40711 4.17745 ZINC000042783320
4.53234 1.70096 1.70096 1.84045 ZINC000043198885
