#E_RMSD:ini opt reo ret zincID
0.62 3.31 3.31 3.84 ZINC000070652606
2.52265 1.7021 1.7021 1.60977 ZINC000070946819
2.64261 0.947338 0.947338 0.966029 ZINC000071024820n
1.79954 2.28404 2.28404 2.20921 ZINC000071773137
2.70313 1.77929 1.77929 1.77198 ZINC000071774179
0.77026 0.822982 0.822982 0.83006 ZINC000071774375
3.5714 1.43894 1.43894 1.49623 ZINC000071785282
5.43636 2.24167 2.24167 2.23475 ZINC000071785887
2.38403 2.62508 2.62508 2.6439 ZINC000071786113
2.8 2.8 2.8 2.8 ZINC000071789018
2.02437 1.33409 1.33409 1.35353 ZINC000071790874
2.51072 1.74164 1.74164 1.97124 ZINC000071790874n
1.27959 1.28291 1.28291 1.33099 ZINC000071790874n_1
1.42697 0.946344 0.946344 0.946661 ZINC000071790930
0.572756 0.572756 0.572756 0.572756 ZINC000071790930_1
3.06894 6.43026 6.43026 5.61033 ZINC000072166870
0.55 0.55 0.55 0.55 ZINC000072187465
0.384326 0.490879 0.416488 0.367032 ZINC000072187569n
2.45673 3.58836 3.58836 3.43599 ZINC000072187607
0.522733 0.765278 0.765278 0.673832 ZINC000072194352
1.86413 2.39147 2.39147 2.31335 ZINC000072207075n
0.15 0.15 0.15 0.15 ZINC000072207083
1.82769 2.03012 2.03012 2.00868 ZINC000072209750
3.24017 1.83643 1.83643 1.77758 ZINC000072217047n
0.602246 1.37348 1.37348 0.973453 ZINC000072218302
1.30772 0.838862 0.838862 0.821255 ZINC000072221648
2.10889 0.398058 0.398058 0.288531 ZINC000072226725n
0.85 1.03 1.03 1.03 ZINC000072266664
1.78 2.14 2.14 0.49 ZINC000072344521_2
2.12567 0.335201 0.335201 0.347908 ZINC000074340288
1.95873 1.11165 1.11165 1.15202 ZINC000074343229n
3.05026 1.64738 1.64738 1.74343 ZINC000075125171
3.366 2.4491 2.4491 2.21108 ZINC000075139672_2
1.92506 2.14356 2.14356 2.56484 ZINC000075271158
1.70423 0.823175 0.823175 0.849456 ZINC000075271158_1
0 0 0 0 ZINC000075545592
2.67 0.32 3.97 4.34 ZINC000075566870
0.07 0.42 0.42 0.07 ZINC000075848010
1.36734 2.1409 2.1409 1.84822 ZINC000076095351
1.1829 1.48007 1.48007 1.52422 ZINC000076644560_2
3.17848 2.06895 2.06895 2.16482 ZINC000077010503
1.96 1.2 1.2 1.08 ZINC000077302714
0.787909 1.23104 1.23104 1.2904 ZINC000078298681
1.77 2.1 2.1 2.13 ZINC000078753390_1
1.13053 0.982344 0.982344 1.87175 ZINC000079108092
0.268701 0.0141421 0.0141421 0.00707107 ZINC000081973484
3.28793 0.239305 0.239305 0.285774 ZINC000082014634_1
5.79183 3.35311 3.35311 3.35238 ZINC000082014634n_1
1.02716 0.750853 0.750853 0.704784 ZINC000082160261
2.4159 1.92208 1.92208 1.96156 ZINC000082164659n
2.79884 1.62664 1.62664 1.55679 ZINC000082297207_1
1.58348 1.67731 1.67731 1.49559 ZINC000082382093
1.14688 0.9797 0.9797 1.03089 ZINC000082382093_1
3.40338 4.07389 4.07389 4.22079 ZINC000082524035
2.09 1.23 1.23 1.25 ZINC000082529551
2.58 2.58 2.58 2.58 ZINC000082754623
2.10922 1.70875 1.70875 1.40816 ZINC000082754623n
1.05071 0.751435 0.751435 0.720037 ZINC000082843389n
1.34 0.08 0.08 0.08 ZINC000082850201
1.63611 1.58232 1.58232 1.58232 ZINC000082852970_2
3.43 0.72 0.72 0.39 ZINC000082854049
1.77008 0.127279 0.127279 0.151162 ZINC000082854049n
1.61784 0.871415 0.871415 0.843397 ZINC000082863074
0 0 0 0 ZINC000082873171
1.65136 1.04243 1.04243 1.1232 ZINC000083119752
1.03238 1.09602 0.954594 0.834386 ZINC000083119813
4.1816 4.30992 4.30992 4.25038 ZINC000083119813n
2.31 0.32 1.76 1.76 ZINC000083143604
0.81 0.54 0.54 0.54 ZINC000083962875_1
2.87164 1.80473 1.80473 1.82715 ZINC000084006867
2.81095 2.25497 2.25497 2.3839 ZINC000084136482
1.02758 0.734688 0.734688 0.739673 ZINC000084136867
1.39223 1.86131 1.86131 1.87189 ZINC000084248954_1
0.772779 0.873363 0.873363 0.85519 ZINC000084312142
5.29352 1.19581 1.19581 1.30611 ZINC000084328152n
3.93348 2.58806 2.58806 2.55 ZINC000084427096n
2.02876 1.45543 1.45543 1.50421 ZINC000084427659n
0.11 0.11 0.11 0.11 ZINC000084427659n_1
3.07376 2.63348 2.63348 2.85124 ZINC000085221591
1.81496 0.981436 0.981436 0.977887 ZINC000085305378
1.46398 0.556821 0.556821 0.361179 ZINC000085385949
1.80384 3.75092 3.75092 3.75909 ZINC000085396530
0.06 0.18 0.18 0.17 ZINC000085399318_1
0.52 1.50507 1.50507 1.52315 ZINC000085432594_1
0.14 3.55 3.55 3.63 ZINC000086258441_2
0.789582 0.374967 0.374967 0.419214 ZINC000086552749
2.03938 1.74667 1.74667 1.71212 ZINC000086928398
7.65 1.62 1.62 3.12 ZINC000087493377
0.417193 2.75485 2.75485 2.67675 ZINC000088038280
2.40126 0.144222 0.144222 0.205061 ZINC000088190282
4.58171 2.57981 2.57981 2.56776 ZINC000088611474
2.20597 2.42039 2.42039 2.41623 ZINC000088832258
0 0 0 0 ZINC000089224378
2.12428 1.94699 1.94699 1.99829 ZINC000090225739n
1.97622 2.20721 2.20721 2.28305 ZINC000090394393n
0.44 1.75 1.75 2.4 ZINC000090397518n
1.69101 1.71924 1.71924 1.77689 ZINC000091305407n
2.06 0.02 0.02 0.09 ZINC000091368638
3.00574 1.36655 1.36655 1.3406 ZINC000091368638n
2.19637 2.17136 2.17136 2.21258 ZINC000091692747n
4.38382 2.29448 2.21165 2.20436 ZINC000095097405
1.33698 1.35788 1.35788 1.3226 ZINC000095097605n
1.01003 2.4262 2.4262 2.43712 ZINC000095496188_1
1.81839 0.84423 0.84423 1.15391 ZINC000095496188_2
4.27364 2.50998 2.50998 2.59736 ZINC000095496188_3
5.79843 3.86954 3.86954 3.84774 ZINC000095496188n
2.63 0.67 0.67 0.64 ZINC000095611857_1
2.96651 2.40406 2.40406 2.27178 ZINC000095630518
0 0 0 0 ZINC000095642801
0.431092 0.431092 0.431092 0.431092 ZINC000095642801n
1.3 0.06 0.06 0.05 ZINC000095704697
2.95571 2.40854 2.40854 2.29061 ZINC000095707968
0.88 0.63 0.63 0.57 ZINC000095707968_1
2.31 0.27 0.27 0.58 ZINC000095742647n
2.97352 2.35482 2.35482 2.3649 ZINC000096027941
1.86 1.29 1.29 1.31 ZINC000096028449
1.5572 1.08513 1.08513 1.08243 ZINC000096034703n
5.55236 3.7162 3.7162 3.73264 ZINC000096076997_1
0 0 0 0 ZINC000096508949
1.28243 0.977782 0.977782 1.00079 ZINC000096509569
0.29 0.29 0.29 0.29 ZINC000096509814_1
2.47695 1.04863 1.04863 0.989457 ZINC000096509858
0 0 0 0 ZINC000098074346_1
2.67157 2.1814 2.1814 2.03036 ZINC000098086437
3.98255 6.77413 6.77413 6.71382 ZINC000098095701
7.76 3.72 3.72 3.12 ZINC000098175197n
0.58 0.08 0.08 0.44 ZINC000098209721
0 0 0 0 ZINC000098209721_1
1.26125 0.294007 0.294007 0.257915 ZINC000098209803
0.662212 0.341431 0.341431 0.3746 ZINC000098210295
0.0714143 0.342977 0.342977 0.353695 ZINC000098211098_1
1.08 0.25 0.25 0.29 ZINC000098213460
5.28 1.91 1.91 2.87 ZINC000100017698
4.79 4.79 4.79 4.79 ZINC000100024675n_2
2.83969 0.541503 1.47226 1.77511 ZINC000100028601
2.81713 3.42286 3.42286 3.19348 ZINC000100068718
7.17 5.77 5.77 6.66 ZINC000100116164
0.4 0.79 0.79 0.45 ZINC000100269068
0.601082 1.33765 1.33765 1.40757 ZINC000100294673n
6.75 0.65 0.3 0.29 ZINC000100740740
3.55 3.55 3.55 3.55 ZINC000101036545
0.0291548 0.0291548 0.0291548 0.01 ZINC000101315751n
3.37 2.08 2.08 3.33 ZINC000101528567
1.93971 1.98848 1.98848 2.04575 ZINC000104105974
0.73 0.31 0.31 0.52 ZINC000104506070
1.10722 1.60563 1.60563 1.60026 ZINC000107120543n_1
4.63251 2.75544 2.75544 2.73909 ZINC000107121073n
0 0 0 0 ZINC000107256565
3.70303 1.32357 1.32357 1.40858 ZINC000107275006_1
0 0 0 0 ZINC000107277083
3.05738 2.18179 2.18179 2.04423 ZINC000107415772n
0.127279 0.127279 0.127279 0.127279 ZINC000108264175_1
3.42703 3.41915 3.41915 3.40404 ZINC000108291988n_1
2.52857 1.89848 1.89848 1.89848 ZINC000113897606n
6.19 1.47 1.47 1.55 ZINC000114969901
0.187883 0.283813 0.283813 0.294406 ZINC000115416606
0 0 0 0 ZINC000115999507
0.02 0.02 0.02 0.02 ZINC000116336391n
2.55366 1.83039 1.83039 1.9122 ZINC000116666992
0.47 0.05 0.05 0.05 ZINC000116666992_1
2.83093 1.46089 1.46089 2.21801 ZINC000117538082n
0.91308 0.482257 0.482257 0.484326 ZINC000129454406
0.844251 0.623677 0.623677 0.681498 ZINC000129454406n
1.26928 0.296057 0.296057 0.20199 ZINC000129511187
2.55286 3.06036 3.06036 3.04008 ZINC000133452480_1
3.20368 3.26571 3.26571 2.89176 ZINC000134682048
4.2697 3.96629 3.96629 3.96629 ZINC000138936765_1
2.01 0.07 0.07 0.08 ZINC000142115061
1.85946 0.813416 0.556569 0.466204 ZINC000142747837
2.57562 1.17652 1.17652 1.20154 ZINC000142834635
7.66898 3.25756 3.25756 3.20012 ZINC000143190822
1.68673 5.95228 5.95228 5.93889 ZINC000144525278
0.569386 0.181108 0.181108 0.291204 ZINC000146516494
1.09052 1.441 1.441 1.46216 ZINC000146653324
3.37101 2.2882 2.2882 2.34468 ZINC000146653324n
0.5 0.1 0.1 0.21 ZINC000146884723
3.7 0.17 0.17 0.03 ZINC000148931276n
3.37949 3.02078 3.02078 2.97309 ZINC000149842689
6.51565 4.02105 4.02105 3.98892 ZINC000159711379
2.08086 2.0816 2.0816 2.0816 ZINC000161025364
4.70657 1.70204 1.70204 1.52522 ZINC000162265548
3.72832 3.92522 3.92522 3.70015 ZINC000169269125
1.80013 0.412189 0.412189 0.251562 ZINC000169793051
1.61609 1.0468 1.0468 1.05128 ZINC000169798718
2.00818 2.03647 2.03647 0.841457 ZINC000169801813
0.790738 1.70618 1.70618 1.69975 ZINC000170620388
0.26 0.53 0.53 0.52 ZINC000172999540
4.16108 1.39969 1.39969 1.3287 ZINC000192634351n_1
3.07721 2.18088 2.18088 0.811443 ZINC000199778862
0.948815 0.848204 0.848204 0.687204 ZINC000200693560n
0.991419 1.27944 1.27944 2.08463 ZINC000204957972
0.261852 0.457275 0.457275 0.451516 ZINC000204993205
0.657704 0.77099 0.77099 0.758782 ZINC000205331240_1
5.5 0.87 0.87 0.93 ZINC000205392892
1.24776 1.47733 1.47733 1.37559 ZINC000205684851
1.0494 0.901302 0.901302 1.12262 ZINC000211404173
0.823031 0.756056 0.756056 0.559464 ZINC000211577168
2.24867 2.05094 2.05094 2.17363 ZINC000211577168n
0.44578 0.54207 0.54207 0.440068 ZINC000217471846
0 0 0 0 ZINC000217640949
2.14 0.98 0.98 0.98 ZINC000217677017
6.85748 1.89429 1.89429 1.90252 ZINC000217735676
3.15171 1.26129 1.26129 1.25431 ZINC000217735676_1
1.96484 1.59688 1.59688 1.56661 ZINC000217753978
1.55177 1.9581 1.9581 1.95922 ZINC000218264002
8.04264 1.00443 1.00443 1.3423 ZINC000218696287
0.42 0.42 0.42 0.42 ZINC000218696287_1
1.82837 2.4075 2.4075 2.39261 ZINC000218775522
3.27699 3.30266 3.30266 3.29453 ZINC000218775522n
7.03017 2.80398 2.80398 2.87203 ZINC000218849955
0 1.21 1.21 1.22 ZINC000219308735_2
4.38023 1.81902 1.81902 2.23796 ZINC000221683085
1.72282 1.06565 1.06565 1.06246 ZINC000222830259
1.22061 1.12021 1.12021 1.19075 ZINC000223780879
3.83904 4.07189 4.07189 4.01446 ZINC000225603590
0.09 0.17 0.17 0.17 ZINC000225603590_1
0.1 0.62 0.62 0.61 ZINC000225605614
2.89835 3.02914 3.02914 2.94746 ZINC000225711473_1
3.62321 0.876727 0.876727 0.727083 ZINC000225762071
5.73766 4.72037 4.72037 5.33343 ZINC000225762849n
2.11114 0.958697 0.958697 0.910118 ZINC000225796079
2.35663 2.36276 2.36276 2.3589 ZINC000225800418
2.47545 1.36125 1.36125 1.33254 ZINC000225803300n
1.35677 0.132791 0.132791 0.069282 ZINC000236417523
0.657609 8.11408 8.11408 8.10002 ZINC000238007895_1
2.71 1.26 1.26 1.39 ZINC000238061978
1.40374 1.58347 1.58347 1.58988 ZINC000238327776n
2.77653 0.433021 0.433021 0.516195 ZINC000238634592
4.32607 0.810463 0.810463 0.831525 ZINC000238650504
2.21 0.23 0.23 0.53 ZINC000238720264
0.592547 0.235345 0.235345 0.29858 ZINC000238854917
3.41253 3.16438 3.16438 3.87698 ZINC000238855850
1.01668 1.12073 1.12073 1.9979 ZINC000238855850_1
2.7 0.1 0.1 0.17 ZINC000242688660
0.611174 1.96571 1.96571 0.5526 ZINC000245197901
3.60566 3.12297 3.12297 2.79941 ZINC000245226177
3.19891 2.6875 2.6875 2.69143 ZINC000247540611_1
0.91 1.01 1.01 1.04 ZINC000247703159
0.19 0.01 0.01 0.01 ZINC000252613948
0.635977 0.636527 0.636527 0.645084 ZINC000252858916_1
1.04 1.19 1.19 1.19 ZINC000253536217
2.83011 2.06533 2.06533 2.20454 ZINC000253571556
2.87281 2.2663 2.2663 2.2655 ZINC000255004105
1.87253 2.43607 2.43607 2.46316 ZINC000256050440
1.37929 1.451 1.451 1.44859 ZINC000257178479
2.1363 2.3023 2.3023 2.3023 ZINC000257178479n
2.95902 1.74425 1.74425 1.38463 ZINC000257198246n
3.45078 2.06511 2.06511 1.97084 ZINC000257204204
3.55584 3.1669 3.1669 3.24787 ZINC000257280973
3.54793 3.97397 3.97397 3.99927 ZINC000257300663n
0.54539 0.54539 0.54539 0.54539 ZINC000257303349_1
0 0 0 0 ZINC000257319378_1
1.31729 0.809197 0.809197 0.82117 ZINC000257832977n
2.36 2.8 2.8 2.81 ZINC000258004811
0.25 0.25 0.25 0.25 ZINC000258119260_1
0.812927 1.16752 1.16752 1.15434 ZINC000261506806
4.07497 4.09071 4.09071 4.0899 ZINC000261828108
2.07 0.6 0.6 0.51 ZINC000264762524_1
2.37308 1.19937 1.19937 1.23354 ZINC000270195797
0.518001 0.518001 0.518001 0.518001 ZINC000270195797_1
0.572305 0.519583 0.519583 0.478435 ZINC000272197666
3.11538 1.96415 1.96415 2.01714 ZINC000274729073_1
0 0 0 0 ZINC000277331664_1
3.20205 1.3297 1.3297 1.21454 ZINC000280592813_1
0.33 0.26 0.26 0.1 ZINC000284846973_1
3.50637 3.23661 3.23661 3.23043 ZINC000287678803_1
2.44705 2.20919 2.20919 2.24758 ZINC000294953765_1
2.40606 2.44327 2.44327 2.44327 ZINC000298772249_2
4.08609 2.56464 2.56464 2.6026 ZINC000299805293
1.92 1.46 1.46 1.48 ZINC000306141493_2
3.00915 1.12954 1.12954 0.92254 ZINC000306145937
2.41596 1.14481 1.14481 1.12079 ZINC000306153083
3.14706 1.72401 1.72401 1.8507 ZINC000306239711
4.51875 2.75954 2.75954 2.67009 ZINC000306400062
0.2 0.11 0.11 0.06 ZINC000306526315_2
1.08642 0.972034 0.972034 0.939734 ZINC000306634373
1.80434 1.34921 1.34921 1.40906 ZINC000306660947_1
2.31217 1.97997 1.97997 1.99083 ZINC000306693302
6.00753 3.62808 3.62808 3.31245 ZINC000306741534
1.04406 1.95047 1.95047 1.4997 ZINC000306741534_1
3.42773 3.27863 3.27863 3.27456 ZINC000306762107
5.69671 4.42978 4.42978 4.34508 ZINC000306780205
2.79343 2.3274 2.3274 2.27926 ZINC000306918522n
0.23 0.29 0.29 0.29 ZINC000307015894
0.617765 0.0057735 0.0057735 0.80829 ZINC000307137915
2.39874 2.47621 2.47621 2.47621 ZINC000307160738
2.23456 2.41443 2.41443 2.61118 ZINC000307192337
2.61417 2.20511 2.20511 2.36273 ZINC000307362067
3.37797 2.55702 2.55702 2.49221 ZINC000307479893_2
1.0589 0.997631 0.997631 1.04504 ZINC000307580839
3.21026 3.21026 3.21026 3.21026 ZINC000307580839_2
1.56 1.93 1.93 1.77 ZINC000307580839n_2
1.85591 2.28936 2.28936 2.2545 ZINC000307613969
2.86017 1.93884 1.74812 1.74784 ZINC000307613969n
1.78775 1.00117 1.00117 1.00117 ZINC000307677377
2.16832 1.1009 1.1009 1.09233 ZINC000307727016
3.56019 3.26194 3.26194 3.2857 ZINC000310527293_1
4.53869 3.28867 3.28867 3.29782 ZINC000328604392_1
1.42847 3.54291 3.54291 3.6051 ZINC000329147912
0.269258 0.269258 0.269258 0.269258 ZINC000329788101_1
2.09357 1.99643 1.99643 2.1452 ZINC000333664623
0 0 0 0 ZINC000333730288_1
3.18089 4.44525 4.04461 4.13086 ZINC000334156958_1
4.00316 1.95869 1.95869 1.15258 ZINC000334157412
1.04438 0.828686 0.828686 0.897285 ZINC000334195160_1
1.74773 1.48501 1.48501 1.4775 ZINC000334205181_1
1.42 1.42 1.42 1.42 ZINC000334611015_1
2.95976 1.96229 1.96229 1.97215 ZINC000334695301_1
1.22 0.36 0.36 0.29 ZINC000334728356_1
7.27554 4.24881 4.24881 4.24833 ZINC000335428347_1
3.38302 3.38302 4.69253 4.95817 ZINC000335583022_1
2.10213 1.46677 1.46677 1.46333 ZINC000335610283n_1
0.193735 0.43147 0.43147 0.320728 ZINC000335974015
2.59819 0.40303 0.40303 0.462745 ZINC000336031612_2
0.272499 1.36271 1.36271 1.54228 ZINC000336119607_1
3.42319 1.2215 1.2215 1.26689 ZINC000357685471n_1
4.02309 1.85312 1.85312 1.86581 ZINC000357701784n_1
2.67679 2.51943 2.51943 2.83829 ZINC000359423569
5.18879 4.61339 4.61339 4.66257 ZINC000359708089_1
2.01476 1.64014 1.64014 1.64794 ZINC000390822805
4.24725 3.16802 3.16802 3.1135 ZINC000398900501_1
3.22602 2.97067 2.97067 2.95312 ZINC000404804913
2.26698 2.33539 2.33539 2.33539 ZINC000409419094
2.55942 2.55942 2.55942 2.55942 ZINC000409426569
1.81 0.1 0.1 0.1 ZINC000409428650
1.25246 0.837466 0.837466 0.834905 ZINC000409429719_1
0.68627 1.28578 1.28578 1.27997 ZINC000409430733
3.09667 1.83784 1.83784 1.86131 ZINC000409432792
0.997229 3.7427 3.7427 3.74167 ZINC000409436578_2
1.83831 1.93131 1.93131 1.92514 ZINC000409436745n
0 0 0 0 ZINC000409437169_1
0.713349 0.642106 0.642106 0.64221 ZINC000409437367
0.932998 1.93464 1.93464 1.95926 ZINC000409437748
0.337713 0.384708 0.0452769 0.0474342 ZINC000409440930
1.39096 0.707618 1.2113 1.07973 ZINC000414168612
3.97114 2.22058 2.22058 2.22116 ZINC000420254693n_1
5.00857 1.29049 1.29049 1.24579 ZINC000425228381
3.41082 2.29484 2.29484 2.33384 ZINC000425228381n
5.72401 1.53911 1.53911 1.54473 ZINC000440560791_1
1.29 0.88 0.88 0.86 ZINC000496607366_1
0.05 0.05 0.05 0.05 ZINC000496607366_1_2
3.32326 1.08764 1.08764 1.13158 ZINC000521398286
2.52474 1.31304 1.31304 1.31664 ZINC000536555952_1
0.76844 0.76844 0.76844 0.76844 ZINC000575624118_1
0.28 0.44 0.44 0.34 ZINC000575624158
1.73542 0.202546 0.202546 0.699786 ZINC000575628976
1.11033 1.71535 1.71535 1.73871 ZINC000584787969n_1
0.05 1.01 1.01 0.7 ZINC000585138847n
2.23217 2.11867 2.11867 2.05872 ZINC000585139440n
2.91489 0.236784 0.236784 0.277609 ZINC000585144046
1.06891 1.35531 1.35531 1.35615 ZINC000585144046_1
1.25865 1.30815 0.487904 0.46669 ZINC000588225583
1.50171 0.607248 0.607248 0.607248 ZINC000594662464
2.96828 1.90206 1.90206 2.1484 ZINC000596133925
3.30057 1.37098 1.37098 1.43921 ZINC000596133925_1
5.04311 1.0619 1.0619 1.17938 ZINC000596133925_2
2.67513 2.35555 2.35555 2.31201 ZINC000601014836n
4.84442 2.33311 9.27517 8.98971 ZINC000602993625n
0.46 0 0 0 ZINC000616575784
1.42097 2.14146 2.14146 1.51559 ZINC000618254154_1
2.92998 4.42119 4.42119 4.42949 ZINC000623243252
2.13885 1.84214 1.84214 1.81197 ZINC000623243252n
3.77643 2.03771 2.03771 2.07099 ZINC000624057466_1
2.24776 1.07093 1.07093 1.21916 ZINC000628371854
0.0848528 0.0848528 0.0848528 0.0848528 ZINC000630051514_1
0.789984 0.823597 0.823597 0.796939 ZINC000634583444
1.37906 1.27769 1.27769 1.30911 ZINC000634623204
2.48746 2.3197 2.3197 2.35313 ZINC000641602996
1.97255 1.76199 1.76199 1.79635 ZINC000641702143
1.96645 2.93337 2.93337 2.94714 ZINC000646628959
0.28 3.82 3.82 3.71 ZINC000647843470
2.58412 1.27253 1.27253 1.23091 ZINC000647870968_1
1.1506 0.73271 0.73271 0.730567 ZINC000649443256n
1.48123 1.49639 1.49639 1.22502 ZINC000650146167
1.23474 1.96324 1.96324 1.74086 ZINC000656400991
0.59 0.59 0.59 0.59 ZINC000656471822_1
0.42 0.15 0.15 0.17 ZINC000657011431
0.402492 0.221923 0.221923 0.148661 ZINC000660579376_1
2.94083 2.18978 2.18978 2.39747 ZINC000663622744_1
3.02988 3.61571 3.61571 3.64937 ZINC000665722552_1
6.19784 3.66195 3.66195 3.77078 ZINC000669372627n
0.616604 0.49684 0.49684 0.501049 ZINC000669374486
1.59635 1.15414 1.15414 1.18559 ZINC000677486681_1
4.21551 2.68202 2.68202 2.66179 ZINC000678468880_1
0.76 0.76 0.76 0.76 ZINC000685937492
2.12731 0.879673 0.879673 0.891866 ZINC000685938119
0.5 0.68 0.68 0.77 ZINC000685938364
0.63 0.03 0.03 0.24 ZINC000685938364_1
1.88815 4.95145 4.95145 4.97354 ZINC000685939199
2.52222 1.30125 1.30125 1.31225 ZINC000685944133n
2.5 0.3 0.3 0.28 ZINC000685944682
1.56608 2.51648 2.51648 2.53487 ZINC000685944721
2.9196 3.02547 3.02547 3.07199 ZINC000711921440_1
0 0 0 0 ZINC000712252383_2
8.05 1.68 1.68 2.41 ZINC000725244717
2.1 0.36 0.36 0.35 ZINC000725272374n
2.53541 2.93251 2.93251 2.93358 ZINC000725361122n
4.01143 2.78669 2.78669 2.66367 ZINC000736809422n
0.802309 0.826831 0.826831 0.789589 ZINC000739207475n
2.5515 2.93881 2.93881 3.00992 ZINC000757213235_1
3.91144 2.14456 2.14456 2.16616 ZINC000757213235n_1
2.76061 2.74747 2.74747 2.68597 ZINC000757213653_2
1.97184 0.733294 0.733294 0.724776 ZINC000757213724_2
4.94 4.38 4.38 4.47 ZINC000757213845_2
4.68273 5.89042 5.89042 5.15117 ZINC000757215738_2
6.38565 2.16514 1.49402 0.943663 ZINC000767478079
0.889981 0 0 0.653197 ZINC000773145501
1.73094 1.60161 1.60161 1.55231 ZINC000799123402_1
4.19778 5.1284 5.1284 4.97539 ZINC000832070040n
1.58 0.05 0.05 0.21 ZINC000849918009
2.13714 0.757136 0.757136 0.7534 ZINC000864368537
1.07336 0.639036 0.639036 0.674512 ZINC000866117130_1
1.62875 2.26321 2.26321 2.26017 ZINC000871958970_1
0.666408 1.43785 1.43785 1.10766 ZINC000884561238
1.15207 0.620705 0.620705 0.612617 ZINC000895249962_1
0.57 0.306349 0.306349 0.288531 ZINC000895956485_2
4.39813 2.53163 2.53163 2.53355 ZINC000896333858_1
3.82283 3.75241 3.75241 3.72316 ZINC000896338174_1
0 0 0 0 ZINC000899320368_2
2.79307 2.91329 2.91329 2.91331 ZINC000899322873_1
1.01732 1.49081 1.49081 1.53745 ZINC000899322873n_1
4.17655 4.24397 4.24397 4.0449 ZINC000900453192_1
0 0 0 0 ZINC000906176945_2
0.710141 2.1997 2.1997 2.1997 ZINC000906205602_2
1.88323 4.01955 4.01955 4.09789 ZINC000920153414
4.57918 1.93614 1.93614 2.00929 ZINC000931523329
0.22 0.61 0.61 0.58 ZINC000931678245_1
1.86708 1.70954 1.70954 1.66404 ZINC000932838760
1.57231 1.18121 1.18121 1.17437 ZINC001120852010
4.11962 2.51795 2.51795 2.51676 ZINC001120860874_1
1.70357 1.21142 1.21142 1.22268 ZINC001121897655
1.14 0.4 0.4 0.4 ZINC001156816117
0.314484 0.146202 0.146202 0.160779 ZINC001157449731
3.58429 2.15699 2.15699 2.20657 ZINC001157731948_1
6.38265 2.2736 2.2736 2.20489 ZINC001157745159n_1
5.65638 3.68802 3.68802 3.65348 ZINC001158699060_1
2.92569 2.30426 2.30426 2.305 ZINC001159103094_1
0.563028 0.388137 0.388137 0.388137 ZINC001160878230_1
0.138804 0.155134 0.155134 0.155134 ZINC001161700339
4.10323 0.934749 0.934749 1.15949 ZINC001163219742n
3.54169 3.58089 2.97428 2.99145 ZINC001164275931
1.82544 1.98207 1.98207 1.99417 ZINC001164275931_2
3.47028 0.928816 0.928816 0.87647 ZINC001165294459_1
4.66147 0.974714 0.974714 0.987944 ZINC001165314341_1
3.66361 1.6475 1.6475 1.54283 ZINC001165325546n_1
2.84009 2.17123 2.17123 2.27979 ZINC001165325546n_1_1
5.14364 3.1544 3.1544 4.11921 ZINC001165380822n_1
5.00106 3.05373 3.05373 3.10043 ZINC001166932686_1
3.19977 2.95571 2.95571 2.83016 ZINC001167185324_1
2.22905 3.03301 3.03301 3.03301 ZINC001169124206_1
2.54229 1.05651 1.05651 1.0502 ZINC001170147166_1
1.16664 0.680559 0.680559 0.694147 ZINC001172296233_1
8.11223 2.99845 2.99845 1.70109 ZINC001173996627
0 0 0 0 ZINC001173999554_1
2.7402 4.1306 4.1306 4.85512 ZINC001174277778
0.428097 0.623057 0.623057 0.598721 ZINC001174792103
5.12 2.2 2.2 2.13 ZINC001174792103_1
1.05019 1.45748 1.45748 1.45221 ZINC001176401833
0.747953 0.685237 0.735085 0.677163 ZINC001201326673
0.46 0.46 0.46 0.46 ZINC001204918113
1.55489 1.12318 1.12318 1.06541 ZINC001210450279
0.32 0.32 0.32 0.32 ZINC001210450279_1
2.42506 5.46739 0.210119 0.0259808 ZINC001211253607
1.08187 1.01116 1.01116 1.04652 ZINC001217727675_2
1.76375 1.69401 1.69401 1.68199 ZINC001217727675n_2
1.8724 1.73183 1.73183 1.70548 ZINC001217736742n_2
2.24153 2.22739 2.22739 2.22739 ZINC001222701454
2.81 2.81 2.81 2.81 ZINC001236357506_2
2.9845 0.526145 0.526145 0.524282 ZINC001236360606
3.37127 2.03176 2.03176 2.03459 ZINC001236366799
1.70977 1.48656 1.48656 1.54546 ZINC001239317829n
4.84105 4.27729 4.27729 4.25632 ZINC001239318796
2.24566 1.36197 1.36197 1.42428 ZINC001239331275
1.32306 0.79511 0.79511 0.864696 ZINC001239465882_2
0 0 0 0 ZINC001239690345_1
2.78632 0.134164 0.134164 1.02618 ZINC001239785008n
0.549509 0.514509 0.514509 0.514937 ZINC001240125879
0.67 0.09 0.09 0.2 ZINC001240828115n
1.15 0.65 0.65 0.61 ZINC001241540889
2.1409 0.841457 0.841457 0.869741 ZINC001241564972_2
0 0 0 0 ZINC001242013084_1
0.438406 0.505223 0.505223 0.503835 ZINC001242075130
4.3175 0.727513 3.1625 0.98251 ZINC001242459244
1.69594 0.316386 0.316386 0.386497 ZINC001242460667
1.25 0.32 0.32 0.39 ZINC001242602055
0.941977 0.333077 0.333077 0.178157 ZINC001242757916
1.06538 1.10009 1.10009 1.07149 ZINC001242758505
1.76 1.75 1.75 1.69 ZINC001242894460_1
5.96 1.13 1.13 1.08 ZINC001242897054
