#Term mae_ini mae_opt mae_reo mae_ret rmsd_ini rmsd_opt rmsd_reo rmsd_ret	R_ini R_opt R_reo R_ret	nb_of_terms	nb_of_pes
bond_ener_all.dat 0.271198 0.13315 0.127181 0.126367 0.598573 0.25002 0.215338 0.214915	0.788804 0.954781 0.972996 0.972653	422	2110
angle_ener_all.dat 0.268881 0.146805 0.129525 0.128158 0.84516 0.632288 0.248451 0.24637	0.714889 0.777685 0.956913 0.957582	2087	10435
dihe_ener_rigid_all.dat 0.493937 0.158455 0.163809 0.164872 1.58123 0.281334 0.300608 0.302061	0.527683 0.954883 0.947039 0.946371	5816	29080
dihe_ener_soft_all.dat 2.14838 0.815865 0.858365 0.882862 3.41717 1.41984 1.48207 1.4996	0.687348 0.940155 0.934729 0.933974	576	21349
in-ring_ener_all.dat 2.2452 0.74732 0.779708 0.786599 4.04045 1.57306 1.74862 1.74287	0.788192 0.950267 0.940182 0.940497	755	6734
impr_ener_all.dat 0.503965 0.145163 0.146422 0.14778 1.26742 0.267728 0.276071 0.276629	0.605881 0.955563 0.951175 0.95086	139	695
