#Atom_RMSD:ini opt rep pre zincid
0.290178 0.133545 0.133545 0.1332 ZINC000001668602_1
0.187269 0.178485 0.178485 0.178485 ZINC000001668835
0.0889801 0.0879945 0.0879945 0.0879945 ZINC000001669442
0.0487355 0.0597978 0.0597978 0.0612565 ZINC000001676870n
0.140891 0.0900581 0.0900581 0.090199 ZINC000001677949
0.0681138 0.0573886 0.0573886 0.0574177 ZINC000001677981_1
0.102798 0.100559 0.100559 0.0999735 ZINC000001681766_1
0.0978541 0.0937157 0.0909434 0.0930403 ZINC000001692414
0.0777199 0.0776984 0.0776984 0.0785976 ZINC000001696994
0.131797 0.101026 0.101026 0.101149 ZINC000001697961_1
0.197771 0.0723164 0.0723164 0.0724627 ZINC000001705340
0.15445 0.168215 0.168215 0.180312 ZINC000001707121
0.116146 0.0499002 0.0499002 0.0499715 ZINC000001721075_1
0.0523744 0.0446075 0.0446075 0.0458314 ZINC000001743783_2
0.1149 0.0688373 0.0688373 0.0727978 ZINC000001744207
0.0515516 0.0768528 0.0768528 0.0812518 ZINC000001744207_1
0.342312 0.147845 0.147845 0.146753 ZINC000001752189
0.589736 0.16694 0.16694 0.171452 ZINC000001753214
0.112726 0.0834213 0.0834213 0.0835271 ZINC000001760327
0.0492702 0.0483647 0.0483647 0.0479403 ZINC000001843130
0.150318 0.132995 0.132995 0.143776 ZINC000001870603
0.11724 0.0448847 0.0448847 0.0449168 ZINC000001870603_1
0.303289 0.189023 0.189023 0.188452 ZINC000002012927
0.0709042 0.19807 0.19807 0.198157 ZINC000002037527_1
0.453901 0.127325 0.127325 0.117432 ZINC000002038421
0.154789 0.121664 0.121664 0.121496 ZINC000002043262
0.160224 0.161166 0.161166 0.160919 ZINC000002048036_2
0.159831 0.0699686 0.0699686 0.0684012 ZINC000002232417_1
0.206322 0.0821991 0.0821991 0.0807291 ZINC000002292870n_1
0.16302 0.118859 0.118859 0.120052 ZINC000002384500
0.106398 0.0992787 0.0992787 0.0981805 ZINC000002386480n
0.176415 0.136928 0.136928 0.137022 ZINC000002488985
0.0841945 0.0713137 0.0713137 0.0713821 ZINC000002506754
0.342843 0.161553 0.161553 0.159476 ZINC000002507566
0.0887134 0.0496067 0.0496067 0.0501181 ZINC000002507829
0.0574264 0.0736855 0.0736855 0.0733756 ZINC000002509844
0.180178 0.13278 0.13278 0.111477 ZINC000002511723
0.305742 0.0679755 0.0679755 0.0699113 ZINC000002511723n
0.169484 0.0716925 0.0716925 0.0691885 ZINC000002511723n_2
0.162435 0.0873103 0.0834274 0.0841705 ZINC000002511723n_3
0.0636886 0.0638899 0.0638899 0.0638899 ZINC000002516028
0.111631 0.069621 0.069621 0.0684835 ZINC000002524420
0.361434 0.173943 0.187455 0.189234 ZINC000002529367
0.0701459 0.111505 0.111505 0.111077 ZINC000002556216
0.078362 0.073227 0.073227 0.072828 ZINC000002556216n
0.140365 0.102512 0.0996587 0.100806 ZINC000002573398
0.118191 0.122114 0.122114 0.122838 ZINC000002577992
0.443002 0.462072 0.462072 0.473869 ZINC000002583571
0.127051 0.101252 0.101252 0.102228 ZINC000002584295
0.102047 0.0770375 0.0770375 0.0648583 ZINC000002599164
0.175971 0.0889389 0.0889389 0.0890911 ZINC000002774749_1
0.490889 0.166426 0.147156 0.145728 ZINC000002778777_2
0.0614087 0.0499952 0.0499952 0.05024 ZINC000002786753
