#QM Initial Optimized Reoptimized Retrained Bonded_term Compound
1.40936901 1.29559521 1.40935602 1.40935602 1.40949456 B_N19_N20 230003
1.36725418 1.34158378 1.36789701 1.36789701 1.3677373 B_N1_N2 230006
1.38123532 1.43321001 1.38160721 1.38160721 1.38166291 B_C5_N6 23000A
1.38107712 1.38562147 1.38068601 1.38068601 1.38067965 B_C6_N14 23000E
1.42224646 1.39263911 1.42172078 1.42172078 1.42211314 B_N1_N2 23000F
1.45818312 1.48571617 1.45926158 1.45926158 1.45955404 B_C12_C13 23000F
1.72290569 1.71706716 1.72677057 1.72677057 1.72679982 B_S3_C4 23000I
1.48058772 1.55090338 1.48529692 1.48529692 1.48552891 B_C4_C5 23000I
1.39532398 1.37747349 1.397115 1.397115 1.3973066 B_N3_N4 23000K
1.38399314 1.35593552 1.38410873 1.38927931 1.38918926 B_C14_N15 23000M
1.46842433 1.45345422 1.46938159 1.48528364 1.48517682 B_C5_N8 23000O
1.53296869 1.52673314 1.53376227 1.53376227 1.53301097 B_C2_C4 23000P
1.49290355 1.55581367 1.48818643 1.48818643 1.4881253 B_C8_C10 23000Q
1.36880897 1.47186579 1.36928284 1.36928284 1.36959241 B_C11_C13 23000X
1.24532486 1.26052384 1.24450086 1.2426243 1.24226784 B_C11_O12 230010
1.43563853 1.44384935 1.43178383 1.45730578 1.45678334 B_N6_C7 230012
1.53030356 1.51051314 1.52916094 1.52916094 1.52894202 B_C2_C14 230016
1.51821672 1.48967007 1.52033786 1.52033786 1.52030084 B_C13_C14 230016
1.71130038 1.74682095 1.71141376 1.72269914 1.72274151 B_C4_S5 23001C
1.35249177 1.36110873 1.34905326 1.34905326 1.34887561 B_C2_O18 23001F
1.44052699 1.42343649 1.43897122 1.43897122 1.43903579 B_N7_O8 23001I
1.22816041 1.2435382 1.22816092 1.22816092 1.22814319 B_O1_C2 23001K
1.47430255 1.47404907 1.47654983 1.47654983 1.47649204 B_C2_C3 23001K
1.50889927 1.50265182 1.5104385 1.5104385 1.51045621 B_C2_C12 23001K
1.4022161 1.42775284 1.40076861 1.40076861 1.40075285 B_N10_O11 23001K
1.50404156 1.49179468 1.49451132 1.49451132 1.49453142 B_C5_C16 23001L
1.41970736 1.48085585 1.4181151 1.4181151 1.41842472 B_N12_N13 23001P
1.39479389 1.35898398 1.3930709 1.3930709 1.39328683 B_N4_C5 23001Q
1.36480951 1.36806874 1.36434227 1.36434227 1.36445123 B_C6_O7 23001Q
1.24159977 1.23603881 1.2421303 1.2421303 1.24214575 B_C8_O9 23001Q
1.49976465 1.51632429 1.49846004 1.49846004 1.4985276 B_C3_C4 23001S
1.33973729 1.38158302 1.33952144 1.33482929 1.33496625 B_O2_C3 23001T
1.33912733 1.46182796 1.34103119 1.34762545 1.3473104 B_C2_N3 23001U
1.39400466 1.38112325 1.35036339 1.37413231 1.374355 B_N3_C4 23001U
1.44685486 1.4829324 1.4475623 1.4475623 1.44894279 B_C2_C6 23001V
1.46046054 1.47619371 1.4611635 1.46331069 1.46398811 B_C8_C18 23001X
1.36604758 1.40577331 1.36614353 1.36614353 1.36620476 B_F1_N2 230020
1.35627247 1.41269536 1.35554492 1.35554492 1.35627824 B_N2_C7 230020
1.2878649 1.38467358 1.28688143 1.28688143 1.28687678 B_N4_O5 230021
1.39813483 1.3929381 1.39795694 1.39795694 1.39796918 B_N10_O11 230021
1.4264943 1.41959902 1.42240104 1.42240104 1.42248418 B_C2_N10 230022
1.40482632 1.48032271 1.40238474 1.39495802 1.39535168 B_N1_N2 230024
1.72918998 1.63752632 1.72905849 1.72905849 1.72577826 B_S2_N4 230026
1.78381754 1.70286329 1.78370279 1.78370279 1.79008097 B_S2_C17 230026
1.48280612 1.45546876 1.49615395 1.49615395 1.49606442 B_N15_C16 230027
1.39619841 1.37572639 1.39367426 1.39367426 1.39378695 B_C5_N15 230028
1.42182031 1.42145528 1.42373956 1.42373956 1.42418876 B_C2_N3 23002F
1.29222831 1.38680631 1.29221792 1.29221792 1.29229604 B_N7_C8 23002G
1.51651871 1.52902345 1.51961229 1.51961229 1.51972424 B_C8_C12 23002G
1.3593344 1.36472769 1.35831181 1.35831181 1.35840473 B_C10_C11 23002K
1.5051475 1.50263706 1.5038177 1.5038177 1.5037677 B_C2_N1 23002M
