#E_RMSD:ini opt rep pre zincID
1.2508 0.326062 0.326062 0.331788 ZINC000001760327
0 0 0 0 ZINC000001843130
0.01 0.03 0.03 0.04 ZINC000001870603
0.92 0.63 0.63 1.15 ZINC000001870603_1
4.35617 0.83678 0.83678 0.898977 ZINC000002012927
0.27 0.67 0.67 0.68 ZINC000002037527_1
5.55495 5.52093 5.52093 5.45049 ZINC000002038421
1.39594 3.71948 3.71948 3.54353 ZINC000002043262
2.60466 2.29231 2.29231 2.16039 ZINC000002048036_2
0.19 0.06 0.06 0.06 ZINC000002232417_1
0.0141421 0 0 0 ZINC000002292870n_1
0.02 0.02 0.02 0.02 ZINC000002384500
1.52143 0.90197 0.90197 1.2232 ZINC000002386480n
3.19945 0.416213 0.416213 0.35898 ZINC000002488985
3.8 2.88 2.88 3.15 ZINC000002506754
0.02 0 0 0 ZINC000002507566
1.89 2.92 2.92 2.89 ZINC000002507829
0.0331662 0.661146 0.661146 0.662797 ZINC000002509844
0.16 0.77 0.77 3.68 ZINC000002511723
4.3906 5.50531 5.50531 5.72384 ZINC000002511723n
5.04958 0.254951 0.254951 0.165529 ZINC000002511723n_2
1.55784 0.66547 1.45602 1.57724 ZINC000002511723n_3
8.42107 8.26402 8.26402 8.26402 ZINC000002516028
1.52 0.25 0.25 0.25 ZINC000002524420
15.4216 3.39109 3.89357 4.85433 ZINC000002529367
2.46681 1.20373 1.20373 1.12508 ZINC000002556216
2.14851 2.03236 2.03236 2.02712 ZINC000002556216n
2.56982 1.58539 2.17981 2.42993 ZINC000002573398
1.88912 1.34573 1.34573 1.35624 ZINC000002577992
1.38 0.91 0.91 1.03 ZINC000002583571
0.12 0.02 0.02 0.04 ZINC000002584295
0 0 0 0 ZINC000002599164
0 0 0 0 ZINC000002774749_1
1.74178 0.62426 0.666083 0.740945 ZINC000002778777_2
0.24026 0.24551 0.24551 0.24551 ZINC000002786753
0 0 0 0 ZINC000003029908_1
2.3196 0.264481 0.264481 0.275227 ZINC000003080625_1
4.33 0.66 0.66 0.6 ZINC000003086176_1
0.05 0.04 0.04 0.04 ZINC000003127918
0.665019 0.513469 0.845281 0.839434 ZINC000003132279
