#QM Initial Optimized Reoptimized Retrained Bonded_term Compound
114.590502 116.028317 116.990744 116.990744 117.37051 A_C6_C5_N7 ZINC000000033978
121.021182 121.537037 120.85157 120.85157 120.804977 A_C2_N20_N19 ZINC000000036303
110.567356 116.692326 110.500991 110.500991 110.434056 A_N3_C5_C7 ZINC000000036303
105.708886 108.762549 105.836261 105.836261 105.855417 A_N3_C5_C18 ZINC000000036303
121.956288 127.055592 122.548328 122.548328 122.510463 A_C5_C18_N19 ZINC000000036303
121.443063 112.494529 121.078622 121.078622 121.057641 A_C5_C18_H30 ZINC000000036303
115.485789 110.826638 115.549593 115.549593 115.529479 A_C7_C5_C18 ZINC000000036303
113.37164 120.46075 113.346226 113.346226 113.433183 A_C18_N19_N20 ZINC000000036303
112.197332 119.279371 112.139728 112.139728 112.066455 A_N19_N20_H31 ZINC000000036303
124.828671 124.10825 124.978696 124.978696 125.01413 A_C3_C4_N5 ZINC000000040719
118.88162 119.917455 118.784566 118.784566 118.778489 A_C2_N1_N2 ZINC000000051544
113.297099 117.388108 113.897155 113.897155 113.783842 A_N1_N2_C3 ZINC000000051544
126.182057 123.414537 126.136514 126.136514 126.135033 A_N1_N2_C9 ZINC000000051544
114.12342 111.89278 114.143617 114.143617 114.14661 A_N10_O11_N12 ZINC000000058460
108.633551 111.200719 110.418435 110.418435 110.389237 A_C9_C7_C15 ZINC000000087135n
118.570244 109.59681 118.581821 118.581821 118.394691 A_O1_C2_N12 ZINC000000088101
121.974588 124.379402 122.488871 122.488871 122.479534 A_S4_C5_N6 ZINC000000088101
123.395 120.860113 123.099385 123.099385 123.059715 A_N6_C5_N12 ZINC000000088101
116.84346 117.555959 114.893866 114.893866 114.891188 A_C5_N13_C16 ZINC000000088474_1
107.446876 111.134329 106.435326 106.435326 106.467329 A_N13_C16_C21 ZINC000000088474_1
108.332092 108.056715 109.344183 109.344183 109.314448 A_H14_N13_C16 ZINC000000088474_1
104.125987 109.987581 103.676569 103.676569 103.643884 A_N5_C6_N12 ZINC000000097479
107.094329 103.254795 107.255843 107.255843 107.226864 A_N10_C11_O13 ZINC000000119009
124.741451 125.153797 124.837128 124.837128 125.104631 A_C5_C6_N14 ZINC000000126038
116.72204 116.520435 116.617678 116.617678 117.251623 A_N1_N2_C3 ZINC000000127402
119.304976 120.591887 121.127243 121.127243 120.667572 A_N1_N2_C12 ZINC000000127402
106.920416 114.990989 107.23445 107.23445 107.282976 A_N2_N1_H18 ZINC000000127402
118.745209 121.026497 122.202251 122.202251 122.358234 A_N2_C12_C13 ZINC000000127402
117.450258 119.801548 117.443319 117.443319 117.323325 A_N11_C12_C13 ZINC000000127402
130.561562 128.322288 130.370549 130.370549 130.748143 A_C12_C13_C14 ZINC000000127402
119.059287 126.288279 120.424942 120.424942 120.026998 A_C12_C13_O17 ZINC000000127402
108.160932 106.978171 108.284765 108.284765 108.307631 A_O5_C6_N18 ZINC000000135843
120.553136 118.761407 121.185437 121.185437 121.14678 A_S3_C4_C5 ZINC000000144678
111.610427 111.888859 110.600619 110.600619 110.594421 A_S3_C4_C15 ZINC000000144678
127.662723 116.511389 124.84186 124.84186 124.90688 A_C5_C4_C15 ZINC000000144678
121.675964 129.368497 120.58366 120.58366 120.598809 A_C2_N3_N4 ZINC000000145322
119.008707 123.192929 117.79024 117.79024 117.766277 A_N3_N4_C5 ZINC000000145322
112.015856 115.28444 112.071928 112.071928 112.172163 A_N3_N4_H15 ZINC000000145322
111.99873 109.136915 111.248516 111.248516 111.181831 A_N2_C9_O2 ZINC000000151361
133.138408 136.162207 132.259521 132.666429 132.645322 A_N4_C11_N16 ZINC000000152023_1
119.247644 128.131052 118.865281 118.496653 118.470378 A_S13_C14_N15 ZINC000000152023_1
115.113948 110.723843 115.230949 113.814866 113.728811 A_C14_N15_H25 ZINC000000152023_1
123.223583 113.039833 123.183807 124.009318 124.013697 A_N15_C14_N16 ZINC000000152023_1
122.47102 121.65397 122.45518 122.45518 122.605115 A_C6_C11_N12 ZINC000000154339
109.925193 115.86917 109.980633 110.252586 110.25886 A_C01_C9_O16 ZINC000000155839_1
111.389614 112.528353 111.606918 111.00805 111.004007 A_C4_C5_N8 ZINC000000155839_1
106.407619 109.081055 106.463429 107.158659 107.159078 A_C6_C5_N8 ZINC000000155839_1
128.2868 126.052929 128.196492 127.721208 127.726639 A_N8_C9_O16 ZINC000000155839_1
131.381991 133.903467 131.807974 131.807974 132.510545 A_C2_C4_N5 ZINC000000158649
116.575502 115.440593 116.545378 116.545378 115.925234 A_C2_C4_N12 ZINC000000158649
114.157753 113.62712 113.601232 113.601232 113.605849 A_C1_C2_O12 ZINC000000159804
118.897019 119.403406 118.698255 118.698255 118.712529 A_C2_C10_C8 ZINC000000159804
113.167982 113.429893 112.163579 112.163579 112.172894 A_C3_C2_O12 ZINC000000159804
