#Atom_RMSD:ini opt reo ret zincid
0.299515 0.283883 0.283883 0.284234 23005C
0.338155 0.234506 0.234506 0.233532 23005D
0.833288 0.285367 0.285367 0.315427 23005E
0.383399 0.380792 0.380792 0.380803 23005G
0.65602 0.259149 0.259149 0.25955 23005H
0.451579 0.54286 0.54286 0.542803 23005J
0.301573 0.110202 0.110202 0.109809 23005K
0.290004 0.220804 0.220804 0.455834 23005L
0.632347 0.168769 0.168769 0.169305 23005M
0.498031 0.218594 0.218594 0.220183 23005N
0.319132 0.0978237 0.10017 0.101436 23005O
0.082101 0.0840403 0.0840403 0.0840403 23005R
0.117702 0.101653 0.101653 0.0977958 23005S
1.19655 0.364195 0.494125 0.582666 23005T
0.275926 0.385361 0.385361 0.383138 23005U
0.433913 0.387949 0.387949 0.388545 23005V
0.392793 0.221346 0.22196 0.220692 23005X
0.356058 0.31485 0.31485 0.316627 23005Y
0.651824 0.544357 0.544357 0.545551 230060
0.162172 0.157289 0.157289 0.158389 230061
0.120949 0.0741508 0.0741508 0.0652849 230062
0.19285 0.0927551 0.0927551 0.0928995 230064
0.410426 0.253596 0.240921 0.240059 230065
0.352637 0.245741 0.245741 0.245249 230066
0.187679 0.410471 0.410471 0.411224 230068
0.427601 0.261003 0.261003 0.26115 23006B
0.091573 0.314431 0.314431 0.313001 23006C
0.254862 0.243873 0.243873 0.251766 23006D
0.102907 0.448904 0.493658 0.505633 23006F
0.0760688 0.0697861 0.0697861 0.0713633 23006G
0.11399 0.155901 0.155901 0.153734 23006H
0.395414 0.386074 0.356415 0.358934 23006I
0.196389 0.126331 0.126331 0.122993 23006J
0.723007 0.0492853 0.0492853 0.0496403 23006L
0.204335 0.307207 0.307207 0.306967 23006M
0.153472 0.116233 0.116233 0.116052 23006O
0.0536632 0.0546773 0.0546773 0.0547215 23006P
0.400619 0.431293 0.431293 0.395042 23006Q
0.237687 0.300478 0.300478 0.290605 23006R
0.643158 0.506778 0.506778 0.494023 23006S
1.07956 0.217325 0.217325 0.216495 23006T
0.153232 0.267128 0.267128 0.279013 23006U
0.195167 0.211882 0.211882 0.213984 23006V
0.0404941 0.0384882 0.0384882 0.0389997 23006W
